bank_id,cert,bank_name,reason,specialized_business_flag,specialized_review_status,specialized_review_period,primary_source,primary_source_url,evidence_summary,source,reviewed_at
1002878,28178,NORTHWEST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1017939,16889,UNITED COMMUNITY BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
107244,110,BANK OZK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1190476,27237,ENTERPRISE BANK&TRUST,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1216022,27314,SYNCHRONY BANK,credit_card_dominant,1,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1218361,58339,BANK OF CHINA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
128904,32773,EASTERN BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1386251,27476,BANCFIRST,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1394676,27471,AMERICAN EXPRESS NB,credit_card_dominant,1,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1443266,25178,BANK OF AMERICA CA NA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
165628,6600,FIRST FINANCIAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
17147,4365,FIRST MERCHANTS BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
174572,28834,COLUMBIA BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
1893049,33497,CHARLES SCHWAB PREMIER BK SS,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
202907,6989,COMMUNITY BANK NATIONAL ASSN,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
204004,12010,PROVIDENT BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
210434,913,NORTHERN TRUST CO,custody_asset_servicing_dominant,1,reviewed,2025-12-31,Northern Trust 2025 annual report,https://www.northerntrust.com/united-states/about-us/investor-relations/annual-reports/2025-annual-report,Northern Trust reports 17.4 trillion dollars of assets under custody and administration in Asset Servicing; excluded as custody and asset-servicing dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2121196,33947,TD BANK USA NATIONAL ASSN,credit_card_dominant,1,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
214807,623,DEUTSCHE BANK TR CO AMERICAS,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
216922,15019,FIRST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2193616,33893,RAYMOND JAMES BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
23504,6976,DIME COMMUNITY BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2354985,34444,CUSTOMERS BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
245276,31469,ORIENTAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
249612,16068,APPLE BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2618780,34383,TEXAS CAPITAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2634191,30788,GLACIER BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
264772,32551,LENDINGCLUB BANK NA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2652092,34742,EAGLEBANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2735146,34775,EVERBANK NATIONAL ASSN,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2736291,34967,POPULAR BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2797724,35095,TOWNEBANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2850722,35141,BMW BANK OF NORTH AMERICA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
288853,18714,FIRSTBANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2917317,35546,AXOS BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
2980209,57203,BARCLAYS BANK DELAWARE,credit_card_dominant,1,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3076220,57358,STIFEL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3076248,57311,STIFEL BANK&TRUST,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
311845,8728,ARVEST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
320119,19977,ISRAEL DISCOUNT BANK OF NY,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3202702,57408,OPTUM BANK INC,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3224580,57570,COMENITY CAPITAL BANK,credit_card_dominant,1,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3284070,57803,ALLY BANK,auto_finance_dominant,1,reviewed,2025-12-31,Ally 2025 Form 10-K,https://www.ally.com/content/dam/pdf/investor-relations/2025-10k.pdf,Ally identifies itself as an industry-leading automotive financing business and reports its Automotive Finance operations had 115.8 billion dollars of assets at year-end; excluded as auto-finance dominant.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3284397,57833,BEAL BANK USA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3287660,57542,TOYOTA FINANCIAL SB,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3317932,57919,CONNECTONE BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3348888,57993,SERVISFIRST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3394278,58177,SALLIE MAE BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
34014,33692,STANDARD CHARTERED BANK PLC,insufficient_report_history,0,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
342634,4988,TRUSTMARK BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
34537,131,SEACOAST NATIONAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3470239,58303,AMERIPRISE BANK FSB,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3475083,58457,TRISTATE CAPITAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
352772,28489,BANNER BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3579589,58629,STELLAR BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3637685,58647,FIRST FOUNDATION BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3650808,58665,LIVE OAK BANKING CO,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
365325,22858,UNITED BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
3938186,58979,BANKUNITED NATIONAL ASSN,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
416245,16450,BUSEY BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
42420,7468,FIRST COMMONWEALTH BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
436159,8663,FIRSTBANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
437914,17838,WILMINGTON SVG FUND SOCIETY,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
438818,33690,BANCO BILBAO VIZCAYA SA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
456045,11241,CENTENNIAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
463735,12441,HANCOCK WHITNEY BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
470050,3066,FIRST FINANCIAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
474919,7551,FULTON BANK NATIONAL ASSN,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
494261,24045,BANC OF CALIFORNIA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
509950,4239,FIRST UNITED BANK&TRUST CO,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
510871,30387,FIRSTBANK PUERTO RICO,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
5278251,59108,CHARLES SCHWAB TRUST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
527954,5452,FIRST NATIONAL BANK OF OMAHA,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
58971,1281,WASHINGTON TRUST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
595270,4063,MIDFIRST BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
595869,18503,CATHAY BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
601050,24998,COMMERCE BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
613008,9712,ROCKLAND TRUST CO,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
637451,17491,PLAINSCAPITAL BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
645625,803,WESBANCO BANK INC,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
652874,29209,NEXBANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
656377,28088,WAFD BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
659855,1105,FIRST INTERSTATE BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
663245,3890,SIMMONS BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
664756,16835,PROSPERITY BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
671464,26610,BANK OF HOPE,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
693224,34589,ATLANTIC UNION BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
702117,7230,NBT BANK NATIONAL ASSN,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
749242,12437,RENASANT BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
764030,20504,AMERIS BANK,primary_source_review_required,0,review_required,,,,,FDIC/Call Report sample screen plus primary-source specialization review,2026-09-04
