evidence_id,mapping_id,loan_scope,stock_fields,charge_off_fields,recovery_fields,form,start_date,end_date,reporting_scope,official_definition_evidence,independent_raw_evidence,evidence_status,limitation
R1-E01,CRE_041_legacy_secured_re,Construction plus multifamily plus nonfarm nonresidential secured by real estate,"RCON1415;RCON1460;RCON1480","RIAD3582;RIAD3588;RIAD3590","RIAD3583;RIAD3589;RIAD3591",041,2005-03-31,2007-12-31,DOMESTIC_ONLY_BANK,https://www.ffiec.gov/sites/default/files/data/reporting-forms/hv-041/FFIEC041_20050930_f.pdf,"2005Q3 retained RCCI/RIBI description rows and raw values",VERIFIED,Aggregate stock items replaced by detailed components after 2007Q4
R1-E02,CRE_041_successor_secured_re,Construction plus multifamily plus nonfarm nonresidential secured by real estate,"RCONF158;RCONF159;RCON1460;RCONF160;RCONF161","RIADC891;RIADC893;RIAD3588;RIADC895;RIADC897","RIADC892;RIADC894;RIAD3589;RIADC896;RIADC898",041,2008-03-31,2025-12-31,DOMESTIC_ONLY_BANK,https://www.ffiec.gov/resources/reporting-forms/ffiec041-historic,"2008Q1 and 2025Q4 retained RCCI/RIBI description rows and raw values",VERIFIED,Uses only the applicable detailed component set
R1-E03,CRE_031_consolidated_bank,Construction plus multifamily plus nonfarm nonresidential secured by real estate,"RCFDF158;RCFDF159;RCFD1460;RCFDF160;RCFDF161","RIADC891;RIADC893;RIAD3588;RIADC895;RIADC897","RIADC892;RIADC894;RIAD3589;RIADC896;RIADC898",031,2013-06-30,2025-12-31,CONSOLIDATED_BANK,https://www.ffiec.gov/sites/default/files/data/reporting-forms/hv-031/FFIEC031_201309_f.pdf,"2013Q2 and 2025Q4 retained RCCI/RIBI description rows and raw values",VERIFIED,Retained archives first provide consolidated detailed stock fields in 2013Q2
R1-E04,CRE_031_unavailable_scope_mismatch,CRE secured by real estate,UNAVAILABLE,RIAD CRE components,RIAD CRE components,031,2005-03-31,2013-03-31,UNAVAILABLE,https://www.ffiec.gov/resources/reporting-forms,"Retained archives provide only RCON domestic detailed stock while RIAD is consolidated for 031",UNAVAILABLE,No cross-scope substitution is permitted
R1-E05,CI_041_domestic_only_bank,C&I loans,RCON1766,RIAD4638,RIAD4608,041,2005-03-31,2025-12-31,DOMESTIC_ONLY_BANK,https://www.federalreserve.gov/data/mdrm.htm,"Retained POR form plus RCCI/RIBI description rows and raw values",VERIFIED,Reported aggregate selected instead of geographic variants
R1-E06,CI_031_consolidated_bank,C&I loans to U.S. and non-U.S. addressees,"RCFD1763;RCFD1764","RIAD4645;RIAD4646","RIAD4617;RIAD4618",031,2005-03-31,2025-12-31,CONSOLIDATED_BANK,https://www.ffiec.gov/resources/reporting-forms/ffiec031,"Retained POR form plus RCCI/RIBI description rows and raw values",VERIFIED,Both geographic stock and gross-flow component pairs are required
R1-E07,Mortgage_041_domestic_only_bank,Closed-end 1-4 family first and junior liens,"RCON5367;RCON5368","RIADC234;RIADC235","RIADC217;RIADC218",041,2005-03-31,2025-12-31,DOMESTIC_ONLY_BANK,https://www.federalreserve.gov/apps/mdrm/data-dictionary/search/item?keyword=5367,"Retained RCCI/RIBI description rows and raw values",VERIFIED,Open-end revolving item 1797 excluded
R1-E08,Mortgage_031_consolidated_bank,Closed-end 1-4 family first and junior liens,"RCFD5367;RCFD5368","RIADC234;RIADC235","RIADC217;RIADC218",031,2013-06-30,2025-12-31,CONSOLIDATED_BANK,https://www.ffiec.gov/sites/default/files/data/reporting-forms/hv-031/FFIEC031_201309_f.pdf,"2013Q2 retained RCCI/RIBI description rows and raw values",VERIFIED,Retained archives first provide consolidated stock fields in 2013Q2
R1-E09,Mortgage_031_unavailable_scope_mismatch,Closed-end 1-4 family loans,UNAVAILABLE,"RIADC234;RIADC235","RIADC217;RIADC218",031,2005-03-31,2013-03-31,UNAVAILABLE,https://www.ffiec.gov/resources/reporting-forms,"Retained archives provide RCON domestic stock but no RCFD closed-end components",UNAVAILABLE,No cross-scope substitution is permitted
R1-E10,CRE_2746_exclusion,Loans financing CRE activity not secured by real estate,EXCLUDED,NOT_APPLICABLE,NOT_APPLICABLE,031/041,2005-03-31,2025-12-31,NOT_CRE_SECURED_STOCK,https://www.federalreserve.gov/apps/mdrm/data-dictionary/search/item?keyword=2746,"2005Q3 and 2009Q2 retained RCCI description row identifies a memorandum financing item",VERIFIED_EXCLUSION,MDRM explicitly excludes loans secured by real estate items including 1415 1460 and 1480
R1-E11,bank_controls_allowance,Allowance or ACL,RCON3123/RCFD3123,NOT_APPLICABLE,NOT_APPLICABLE,031/041,2005-03-31,2025-12-31,FORM_DEPENDENT,https://www.federalreserve.gov/data/mdrm.htm,"Retained RCR description rows show ALLL before CECL and ACL in 2025",VERIFIED,Accounting label changes over time; use remains allowance stock coverage only
R1-E12,bank_controls_tier1_rwa,Tier 1 capital and risk-weighted assets,"8274;A223",NOT_APPLICABLE,NOT_APPLICABLE,031/041,2005-03-31,2025-12-31,FORM_DEPENDENT,https://www.federalreserve.gov/data/mdrm.htm,"Retained RCR/RCRI description rows plus separately reported 7206 ratio",VERIFIED,Capital ratio is independently reconciled to reported 7206
R1-E13,bank_controls_total_npl,Total loans on nonaccrual,RCON1403/RCFD1403,NOT_APPLICABLE,NOT_APPLICABLE,031/041,2005-03-31,2025-12-31,FORM_DEPENDENT,https://www.ffiec.gov/resources/reporting-forms,"Retained RCN description row identifies TOTAL NONACCRUAL",VERIFIED_WITH_LIMITATION,This is a bank-level nonaccrual fallback and not segment NPL
