bank_id,event_date,event_type,source,notes
12311,2021-06-09,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2025-10-20,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2016-08-16,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2007-09-21,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2012-03-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2006-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2014-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2009-10-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
12311,2007-08-31,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2023-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2007-04-27,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2014-04-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2025-09-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2006-06-03,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2010-02-26,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2010-06-18,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2010-01-22,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2012-11-14,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2009-01-16,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
143662,2024-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1842065,2008-12-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1842065,2009-07-02,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1842065,2009-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1842065,2009-06-30,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1842065,2010-11-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2016-03-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2019-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2018-01-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
1929247,2017-04-01,Branch Acquired in Merger/Consolidation/Failure,FDIC BankFind history API (CHANGECODE 713),Branch-level events collapsed to one bank-quarter flag.
