bank_id,cert,rssd_id,bank_name,parent_name,assets,form_type,first_report_date,last_report_date,active_2025q4,failed_flag,acquired_flag,specialized_business_flag,core_sample_flag,exclusion_reason,specialized_review_status,specialized_review_period,primary_source,primary_source_url,evidence_summary,credit_card_assessment,auto_finance_assessment,custody_asset_servicing_assessment,broker_dealer_trading_assessment
1002878,28178,1002878,NORTHWEST BANK,NORTHWEST BANCSHARES INC,16771847,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1017939,16889,1017939,UNITED COMMUNITY BANK,UNITED COMMUNITY BANKS INC,27929114,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
107244,110,107244,BANK OZK,,40785840,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1190476,27237,1190476,ENTERPRISE BANK&TRUST,ENTERPRISE FINL SERVICES CORP,17269411,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1216022,27314,1216022,SYNCHRONY BANK,SYNCHRONY FINANCIAL,112115000,31,,,1,0,0,1,0,credit_card_dominant,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,yes,no,no,no
1218361,58339,1218361,BANK OF CHINA,,13976142,2,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
12311,6560,12311,HUNTINGTON NATIONAL BANK,HUNTINGTON BANCSHARES INC,224047234,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
128904,32773,128904,EASTERN BANK,EASTERN BANKSHARES INC,30579383,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1386251,27476,1386251,BANCFIRST,BANCFIRST CORP,12118977,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1394676,27471,1394676,AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,211275193,31,,,1,0,0,1,0,credit_card_dominant,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,yes,no,no,no
143662,17266,143662,COLUMBIA BANK,COLUMBIA BANKING SYSTEM INC,66821352,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
1443266,25178,1443266,BANK OF AMERICA CA NA,BANK OF AMERICA CORP,15505000,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
165628,6600,165628,FIRST FINANCIAL BANK,FIRST FINANCIAL BCORP,20985843,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
17147,4365,17147,FIRST MERCHANTS BANK,FIRST MERCHANTS CORP,19011326,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
174572,28834,174572,COLUMBIA BANK,COLUMBIA BANK MHC,11018560,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1842065,33306,1842065,CIBC BANK USA,CANADIAN IMPERIAL BK OF COM,63978350,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
1893049,33497,1893049,CHARLES SCHWAB PREMIER BK SS,CHARLES SCHWAB CORP THE,27022000,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
1929247,33555,1929247,SOUTHSTATE BANK NA,SOUTHSTATE BANK CORP,67179734,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
197478,31628,197478,EAST WEST BANK,EAST WEST BCORP INC,79661753,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
202907,6989,202907,COMMUNITY BANK NATIONAL ASSN,COMMUNITY FINANCIAL SYSTEM INC,17000592,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
204004,12010,204004,PROVIDENT BANK,PROVIDENT FINL SERVICES INC,24946372,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
208244,3832,208244,OLD NATIONAL BANK,OLD NATIONAL BCORP,71771976,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
210434,913,210434,NORTHERN TRUST CO,NORTHERN TRUST CORP,176396321,31,,,1,0,0,1,0,custody_asset_servicing_dominant,reviewed,2025-12-31,Northern Trust 2025 annual report,https://www.northerntrust.com/united-states/about-us/investor-relations/annual-reports/2025-annual-report,Northern Trust reports 17.4 trillion dollars of assets under custody and administration in Asset Servicing; excluded as custody and asset-servicing dominant.,no,no,yes,no
2121196,33947,2121196,TD BANK USA NATIONAL ASSN,TORONTO-DOMINION BANK THE,34631887,41,,,1,0,0,1,0,credit_card_dominant,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,yes,no,no,no
214807,623,214807,DEUTSCHE BANK TR CO AMERICAS,DEUTSCHE BK AKTIENGESELLSCHAFT,43031000,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
216922,15019,216922,FIRST BANK,FIRST BCORP,12659342,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2193616,33893,2193616,RAYMOND JAMES BANK,RAYMOND JAMES FINANCIAL INC,43374103,31,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
229801,9396,229801,VALLEY NATIONAL BANK,VALLEY NATIONAL BCORP,64061947,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
233031,12368,233031,REGIONS BANK,REGIONS FINANCIAL CORP,157412000,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
23504,6976,23504,DIME COMMUNITY BANK,DIME COMMUNITY BANCSHARES INC,15332384,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2354985,34444,2354985,CUSTOMERS BANK,CUSTOMERS BCORP INC,24881148,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
245276,31469,245276,ORIENTAL BANK,OFG BCORP,12384752,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
249612,16068,249612,APPLE BANK,APPLE FINANCIAL HOLDINGS INC,19225517,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2618780,34383,2618780,TEXAS CAPITAL BANK,TEXAS CAPITAL BANCSHARES INC,31263826,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2634191,30788,2634191,GLACIER BANK,GLACIER BCORP INC,31955659,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
264772,32551,264772,LENDINGCLUB BANK NA,LENDINGCLUB CORP,11472011,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2652092,34742,2652092,EAGLEBANK,EAGLE BCORP INC,10445598,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2735146,34775,2735146,EVERBANK NATIONAL ASSN,EVERBANK FINANCIAL CORP,46033756,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2736291,34967,2736291,POPULAR BANK,POPULAR INC,15061146,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
276579,2270,276579,ZIONS BCORP N A,,88989689,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
2797724,35095,2797724,TOWNEBANK,,19687341,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
280110,17534,280110,KEYBANK NATIONAL ASSN,KEYCORP,181707510,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
2850722,35141,2850722,BMW BANK OF NORTH AMERICA,,12814515,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
288853,18714,288853,FIRSTBANK,REISHER FAMILY FOUNDATION,26480975,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2917317,35546,2917317,AXOS BANK,AXOS FINANCIAL INC,27205173,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
2925666,35583,2925666,PINNACLE BANK,PINNACLE FINL PARTNERS INC,57636946,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
2980209,57203,2980209,BARCLAYS BANK DELAWARE,BARCLAYS PLC,47613000,41,,,1,0,0,1,0,credit_card_dominant,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,yes,no,no,no
3076220,57358,3076220,STIFEL BANK,STIFEL FINANCIAL CORP,11735326,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3076248,57311,3076248,STIFEL BANK&TRUST,STIFEL FINANCIAL CORP,19412996,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
311845,8728,311845,ARVEST BANK,ARVEST BANK GROUP INC,27788097,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3138146,57512,3138146,WESTERN ALLIANCE BANK,WESTERN ALLIANCE BCORP,92735703,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
320119,19977,320119,ISRAEL DISCOUNT BANK OF NY,ISRAEL DISCOUNT BANK LTD,14430208,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3202702,57408,3202702,OPTUM BANK INC,,20819000,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3212149,57565,3212149,UBS BANK USA,UBS GROUP AG,119317920,31,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,UBS 2025 Annual Report,https://www.ubs.com/content/dam/assets/cc/investor-relations/annual-report/2025/annual-report-ubs-group-2025.pdf,UBS reports UBS Bank USA separately from UBS Financial Services Inc. and UBS Securities LLC; broker-dealer activity of those separate entities was not imputed to the FDIC bank.,no,no,no,no
3224580,57570,3224580,COMENITY CAPITAL BANK,,13626906,41,,,1,0,0,1,0,credit_card_dominant,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,yes,no,no,no
3284070,57803,3284070,ALLY BANK,ALLY FINANCIAL INC,184648000,31,,,1,0,0,1,0,auto_finance_dominant,reviewed,2025-12-31,Ally 2025 Form 10-K,https://www.ally.com/content/dam/pdf/investor-relations/2025-10k.pdf,Ally identifies itself as an industry-leading automotive financing business and reports its Automotive Finance operations had 115.8 billion dollars of assets at year-end; excluded as auto-finance dominant.,no,yes,no,no
3284397,57833,3284397,BEAL BANK USA,,14512815,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3287660,57542,3287660,TOYOTA FINANCIAL SB,,15431880,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3303298,57957,3303298,CITIZENS BANK NATIONAL ASSN,CITIZENS FINANCIAL GROUP INC,225863637,31,2005-06-30,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
3317932,57919,3317932,CONNECTONE BANK,CONNECTONE BCORP INC,13993791,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3348888,57993,3348888,SERVISFIRST BANK,SERVISFIRST BANCSHARES INC,17725922,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
3394278,58177,3394278,SALLIE MAE BANK,,29734290,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
339858,4214,339858,BOKF NATIONAL ASSN,BOK FINANCIAL CORP,52005221,41,2005-03-31,2025-12-31,1,0,0,0,1,,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
34014,33692,34014,STANDARD CHARTERED BANK PLC,,63649642,2,,,1,0,0,0,0,insufficient_report_history,reviewed,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,no,no,no,no
342634,4988,342634,TRUSTMARK BANK,TRUSTMARK CORP,18922957,41,,,1,0,0,0,0,primary_source_review_required,review_required,,,,,,,,
