bank_id,cert,bank_name,report_date,segment,raw_source_files,source_archive_members,charge_off_raw_fields_and_values,recovery_raw_fields_and_values,transformation,quarterly_charge_off_thousands,quarterly_recovery_thousands,derived_segment_nco_thousands,panel_segment_nco_thousands,raw_archive_to_standard_match,derived_to_panel_match,reviewer,reviewer_conclusion,reviewer_note,limitation
233031,12368,REGIONS BANK,2011-09-30,CRE,FFIEC CDR Call Bulk All Schedules 06302011.zip; FFIEC CDR Call Bulk All Schedules 09302011.zip,FFIEC CDR Call Bulk All Schedules 06302011.zip::FFIEC CDR Call Schedule RIBI 06302011.txt; FFIEC CDR Call Bulk All Schedules 09302011.zip::FFIEC CDR Call Schedule RIBI 09302011.txt; FFIEC CDR Call Bulk All Schedules 06302011.zip::FFIEC CDR Call Schedule RIBI 06302011.txt; FFIEC CDR Call Bulk All Schedules 09302011.zip::FFIEC CDR Call Schedule RIBI 09302011.txt,RIAD3588: current_ytd=99260; prior_ytd=71575; quarterly=27685 | RIADC893: current_ytd=125680; prior_ytd=93617; quarterly=32063 | RIADC895: current_ytd=160406; prior_ytd=99647; quarterly=60759 | RIADC897: current_ytd=286832; prior_ytd=201072; quarterly=85760,RIAD3589: current_ytd=7257; prior_ytd=3022; quarterly=4235 | RIADC894: current_ytd=3225; prior_ytd=2591; quarterly=634 | RIADC896: current_ytd=4313; prior_ytd=3304; quarterly=1009 | RIADC898: current_ytd=3767; prior_ytd=1295; quarterly=2472,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,206267.0,8350.0,197917.0,197917.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
940311,34968,BANCO POPULAR DE PUERTO RICO,2014-03-31,CRE,FFIEC CDR Call Bulk All Schedules 03312014.zip,FFIEC CDR Call Bulk All Schedules 03312014.zip::FFIEC CDR Call Schedule RIBI 03312014.txt; FFIEC CDR Call Bulk All Schedules 03312014.zip::FFIEC CDR Call Schedule RIBI 03312014.txt,RIAD3588: current_ytd=0; quarterly=current_ytd | RIADC893: current_ytd=16000; quarterly=current_ytd | RIADC895: current_ytd=5000; quarterly=current_ytd | RIADC897: current_ytd=12000; quarterly=current_ytd,RIAD3589: current_ytd=0; quarterly=current_ytd | RIADC894: current_ytd=2000; quarterly=current_ytd | RIADC896: current_ytd=3000; quarterly=current_ytd | RIADC898: current_ytd=0; quarterly=current_ytd,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,33000.0,5000.0,28000.0,28000.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
936855,8273,UMB BANK NATIONAL ASSN,2005-12-31,CRE,FFIEC CDR Call Bulk All Schedules 09302005.zip; FFIEC CDR Call Bulk All Schedules 12312005.zip,FFIEC CDR Call Bulk All Schedules 09302005.zip::FFIEC CDR Call Schedule RIBI 09302005.txt; FFIEC CDR Call Bulk All Schedules 12312005.zip::FFIEC CDR Call Schedule RIBI 12312005.txt; FFIEC CDR Call Bulk All Schedules 09302005.zip::FFIEC CDR Call Schedule RIBI 09302005.txt; FFIEC CDR Call Bulk All Schedules 12312005.zip::FFIEC CDR Call Schedule RIBI 12312005.txt,RIAD3582: current_ytd=0; prior_ytd=0; quarterly=0 | RIAD3588: current_ytd=0; prior_ytd=0; quarterly=0 | RIAD3590: current_ytd=0; prior_ytd=0; quarterly=0,RIAD3583: current_ytd=0; prior_ytd=0; quarterly=0 | RIAD3589: current_ytd=0; prior_ytd=0; quarterly=0 | RIAD3591: current_ytd=0; prior_ytd=0; quarterly=0,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,0.0,0.0,0.0,0.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
63069,17281,CITY NATIONAL BANK,2024-06-30,Mortgage,FFIEC CDR Call Bulk All Schedules 03312024.zip; FFIEC CDR Call Bulk All Schedules 06302024.zip,FFIEC CDR Call Bulk All Schedules 03312024.zip::FFIEC CDR Call Schedule RIBI 03312024.txt; FFIEC CDR Call Bulk All Schedules 06302024.zip::FFIEC CDR Call Schedule RIBI 06302024.txt; FFIEC CDR Call Bulk All Schedules 03312024.zip::FFIEC CDR Call Schedule RIBI 03312024.txt; FFIEC CDR Call Bulk All Schedules 06302024.zip::FFIEC CDR Call Schedule RIBI 06302024.txt,RIADC234: current_ytd=0; prior_ytd=0; quarterly=0,RIADC217: current_ytd=0; prior_ytd=0; quarterly=0,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,0.0,0.0,0.0,0.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
940311,34968,BANCO POPULAR DE PUERTO RICO,2007-12-31,CI,FFIEC CDR Call Bulk All Schedules 09302007.zip; FFIEC CDR Call Bulk All Schedules 12312007.zip,FFIEC CDR Call Bulk All Schedules 09302007.zip::FFIEC CDR Call Schedule RIBI 09302007.txt; FFIEC CDR Call Bulk All Schedules 12312007.zip::FFIEC CDR Call Schedule RIBI 12312007.txt; FFIEC CDR Call Bulk All Schedules 09302007.zip::FFIEC CDR Call Schedule RIBI 09302007.txt; FFIEC CDR Call Bulk All Schedules 12312007.zip::FFIEC CDR Call Schedule RIBI 12312007.txt,RIAD4638: current_ytd=29000; prior_ytd=18000; quarterly=11000,RIAD4608: current_ytd=8000; prior_ytd=7000; quarterly=1000,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,11000.0,1000.0,10000.0,10000.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
936855,8273,UMB BANK NATIONAL ASSN,2018-12-31,CI,FFIEC CDR Call Bulk All Schedules 09302018.zip; FFIEC CDR Call Bulk All Schedules 12312018.zip,FFIEC CDR Call Bulk All Schedules 09302018.zip::FFIEC CDR Call Schedule RIBI 09302018.txt; FFIEC CDR Call Bulk All Schedules 12312018.zip::FFIEC CDR Call Schedule RIBI 12312018.txt; FFIEC CDR Call Bulk All Schedules 09302018.zip::FFIEC CDR Call Schedule RIBI 09302018.txt; FFIEC CDR Call Bulk All Schedules 12312018.zip::FFIEC CDR Call Schedule RIBI 12312018.txt,RIAD4638: current_ytd=61152; prior_ytd=12125; quarterly=49027,RIAD4608: current_ytd=3942; prior_ytd=1578; quarterly=2364,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,49027.0,2364.0,46663.0,46663.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
682563,5510,FROST BANK,2012-06-30,CI,FFIEC CDR Call Bulk All Schedules 03312012.zip; FFIEC CDR Call Bulk All Schedules 06302012.zip,FFIEC CDR Call Bulk All Schedules 03312012.zip::FFIEC CDR Call Schedule RIBI 03312012.txt; FFIEC CDR Call Bulk All Schedules 06302012.zip::FFIEC CDR Call Schedule RIBI 06302012.txt; FFIEC CDR Call Bulk All Schedules 03312012.zip::FFIEC CDR Call Schedule RIBI 03312012.txt; FFIEC CDR Call Bulk All Schedules 06302012.zip::FFIEC CDR Call Schedule RIBI 06302012.txt,RIAD4638: current_ytd=6444; prior_ytd=2709; quarterly=3735,RIAD4608: current_ytd=2427; prior_ytd=1207; quarterly=1220,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,3735.0,1220.0,2515.0,2515.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
3212149,57565,UBS BANK USA,2020-09-30,CRE,FFIEC CDR Call Bulk All Schedules 06302020.zip; FFIEC CDR Call Bulk All Schedules 09302020.zip,FFIEC CDR Call Bulk All Schedules 06302020.zip::FFIEC CDR Call Schedule RIBI 06302020.txt; FFIEC CDR Call Bulk All Schedules 09302020.zip::FFIEC CDR Call Schedule RIBI 09302020.txt; FFIEC CDR Call Bulk All Schedules 06302020.zip::FFIEC CDR Call Schedule RIBI 06302020.txt; FFIEC CDR Call Bulk All Schedules 09302020.zip::FFIEC CDR Call Schedule RIBI 09302020.txt,RIAD3588: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC893: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC895: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC897: current_ytd=0; prior_ytd=0; quarterly=0,RIAD3589: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC894: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC896: current_ytd=0; prior_ytd=0; quarterly=0 | RIADC898: current_ytd=0; prior_ytd=0; quarterly=0,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,0.0,0.0,0.0,0.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
3138146,57512,WESTERN ALLIANCE BANK,2007-09-30,CI,FFIEC CDR Call Bulk All Schedules 06302007.zip; FFIEC CDR Call Bulk All Schedules 09302007.zip,FFIEC CDR Call Bulk All Schedules 06302007.zip::FFIEC CDR Call Schedule RIBI 06302007.txt; FFIEC CDR Call Bulk All Schedules 09302007.zip::FFIEC CDR Call Schedule RIBI 09302007.txt; FFIEC CDR Call Bulk All Schedules 06302007.zip::FFIEC CDR Call Schedule RIBI 06302007.txt; FFIEC CDR Call Bulk All Schedules 09302007.zip::FFIEC CDR Call Schedule RIBI 09302007.txt,RIAD4638: current_ytd=0; prior_ytd=0; quarterly=0,RIAD4608: current_ytd=0; prior_ytd=0; quarterly=0,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,0.0,0.0,0.0,0.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
1929247,33555,SOUTHSTATE BANK NA,2015-03-31,CRE,FFIEC CDR Call Bulk All Schedules 03312015.zip,FFIEC CDR Call Bulk All Schedules 03312015.zip::FFIEC CDR Call Schedule RIBI 03312015.txt; FFIEC CDR Call Bulk All Schedules 03312015.zip::FFIEC CDR Call Schedule RIBI 03312015.txt,RIAD3588: current_ytd=77; quarterly=current_ytd | RIADC893: current_ytd=0; quarterly=current_ytd | RIADC895: current_ytd=60; quarterly=current_ytd | RIADC897: current_ytd=0; quarterly=current_ytd,RIAD3589: current_ytd=0; quarterly=current_ytd | RIADC894: current_ytd=4; quarterly=current_ytd | RIADC896: current_ytd=75; quarterly=current_ytd | RIADC898: current_ytd=3; quarterly=current_ytd,Q1: quarterly=YTD; Q2-Q4: quarterly=current YTD-prior-quarter YTD; segment NCO=quarterly charge-offs-quarterly recoveries,137.0,82.0,55.0,55.0,True,True,Batch 1 acceptance repair operator,PASS,Direct FFIEC archive members and values were inspected; raw-to-standard and recomputed-to-panel traces agree.,"This is a fixed random 100-observation source-document sample, not evidence that all unreviewed reporting-detail changes are absent."
