bank_id,cert,bank_name,review_period,primary_source,primary_source_url,issuer_primary_source_url,credit_card_assessment,auto_finance_assessment,custody_asset_servicing_assessment,broker_dealer_trading_assessment,evidence_summary,review_method,reviewed_at
491224,11063,FIRST-CITIZENS BANK&TRUST CO,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000798941,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
3303298,57957,CITIZENS BANK NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000759944,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
12311,6560,HUNTINGTON NATIONAL BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000049196,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
723112,6672,FIFTH THIRD BANK NA,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000035527,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
501105,588,MANUFACTURERS&TRADERS TR CO,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000036270,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
1394676,27471,AMERICAN EXPRESS NB,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000004962,yes,no,no,no,FFIEC 2025Q4 credit-card loans divided by net loans are above the policy threshold; excluded as credit-card dominant.,Call Report quantitative primary-source review.,2026-09-04
3284070,57803,ALLY BANK,2025-12-31,Ally 2025 Form 10-K,https://www.ally.com/content/dam/pdf/investor-relations/2025-10k.pdf,https://www.ally.com/about/investor/annual-reports/,no,yes,no,no,Ally identifies itself as an industry-leading automotive financing business and reports its Automotive Finance operations had 115.8 billion dollars of assets at year-end; excluded as auto-finance dominant.,Issuer primary-source business review.,2026-09-04
280110,17534,KEYBANK NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0000091576,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
210434,913,NORTHERN TRUST CO,2025-12-31,Northern Trust 2025 annual report,https://www.northerntrust.com/united-states/about-us/investor-relations/annual-reports/2025-annual-report,https://www.northerntrust.com/united-states/about-us/investor-relations/annual-reports/2025-annual-report,no,no,yes,no,Northern Trust reports 17.4 trillion dollars of assets under custody and administration in Asset Servicing; excluded as custody and asset-servicing dominant.,Issuer primary-source business review.,2026-09-04
413208,57890,HSBC BANK USA NATIONAL ASSN,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001089113,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
233031,12368,REGIONS BANK,2025-12-31,FFIEC 2025Q4 Call Report legal-entity filing,https://cdr.ffiec.gov/public/pws/downloadbulkdata.aspx,https://www.sec.gov/edgar/browse/?CIK=0001281761,no,no,no,no,Legal-entity Call Report and issuer annual filing reviewed; no affirmative primary-source characterization of this bank as a prohibited dominant specialty.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
3212149,57565,UBS BANK USA,2025-12-31,UBS 2025 Annual Report,https://www.ubs.com/content/dam/assets/cc/investor-relations/annual-report/2025/annual-report-ubs-group-2025.pdf,https://www.ubs.com/global/en/investor-relations/complementary-financial-information/disclosure-legal-entities/ubs-ag-consolidated.html,no,no,no,no,UBS reports UBS Bank USA separately from UBS Financial Services Inc. and UBS Securities LLC; broker-dealer activity of those separate entities was not imputed to the FDIC bank.,Legal-entity primary-source review; parent affiliates are not imputed.,2026-09-04
