segment,macro,nco_lead_quarters,correlation
CI,unemployment_rate,1,0.22347425252884293
CI,unemployment_rate,2,0.17893106470702533
CI,unemployment_rate,3,0.13077150895296788
CI,unemployment_rate,4,0.08979304724816028
CI,cre_price_growth,1,-0.3061622462133021
CI,cre_price_growth,2,-0.2875785073996989
CI,cre_price_growth,3,-0.2714042721582164
CI,cre_price_growth,4,-0.24132677601780214
CI,house_price_growth,1,-0.24721798362404127
CI,house_price_growth,2,-0.25478145569510574
CI,house_price_growth,3,-0.25907750543827557
CI,house_price_growth,4,-0.24648337589277103
CI,bbb_spread,1,0.27062369507316525
CI,bbb_spread,2,0.2547538533505843
CI,bbb_spread,3,0.2210664233227334
CI,bbb_spread,4,0.18727415637403244
CRE,unemployment_rate,1,0.1712311839972799
CRE,unemployment_rate,2,0.1505352175768478
CRE,unemployment_rate,3,0.1125517077131965
CRE,unemployment_rate,4,0.0745513068303273
CRE,cre_price_growth,1,-0.22307940242032487
CRE,cre_price_growth,2,-0.19477520720825403
CRE,cre_price_growth,3,-0.1878423890838034
CRE,cre_price_growth,4,-0.17313509133607738
CRE,house_price_growth,1,-0.22427896719310314
CRE,house_price_growth,2,-0.21394830234356396
CRE,house_price_growth,3,-0.20707636184053885
CRE,house_price_growth,4,-0.18652347024872598
CRE,bbb_spread,1,0.1779102711142816
CRE,bbb_spread,2,0.1537765454512199
CRE,bbb_spread,3,0.14354022505405564
CRE,bbb_spread,4,0.09826690009290033
Mortgage,unemployment_rate,1,0.2418755297385817
Mortgage,unemployment_rate,2,0.2377712026963677
Mortgage,unemployment_rate,3,0.2331610493433769
Mortgage,unemployment_rate,4,0.21928544236746708
Mortgage,cre_price_growth,1,-0.08097459512482225
Mortgage,cre_price_growth,2,-0.06481104155368539
Mortgage,cre_price_growth,3,-0.06643791900274895
Mortgage,cre_price_growth,4,-0.07806011938257826
Mortgage,house_price_growth,1,-0.20828401731954754
Mortgage,house_price_growth,2,-0.22986964605383162
Mortgage,house_price_growth,3,-0.22486558320849376
Mortgage,house_price_growth,4,-0.22603632238291035
Mortgage,bbb_spread,1,0.22949555390551013
Mortgage,bbb_spread,2,0.2202389478667982
Mortgage,bbb_spread,3,0.21245111929622457
Mortgage,bbb_spread,4,0.20003299566631955
