window,segment,model,train_start,train_end,test_start,test_end,n,weighting,rmse,mae,bias,r2_vs_test_mean,weighted_sse,sse_improvement_vs_ar,common_scoring_keys_verified
1,CRE,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,equal_observation,0.004497498257845607,0.0032734709805432877,-0.0025173347581346163,-1.2062336145561008,2.022749057932427e-05,0.0,True
1,CRE,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,target_exposure_weighted,0.0037094494570366404,0.0024547104728810817,-0.0017895665031871886,-1.0912584735970023,1.3760015274309426e-05,0.0,True
1,CI,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,equal_observation,0.009067320458201494,0.006498931462045153,-0.005432878117464863,-1.0281003238262767,8.221630029171936e-05,0.0,True
1,CI,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,target_exposure_weighted,0.006877335954334374,0.0055426073905901485,-0.005003358606568991,-2.2641389909152356,4.729774982878029e-05,0.0,True
2,CRE,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,equal_observation,0.0036679559919549844,0.0019241544674466452,-0.0010243562687059194,-0.3434462125498534,1.3453901158918474e-05,0.0,True
2,CRE,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,target_exposure_weighted,0.002503367194953166,0.0014056545792608124,-0.0006848217424484976,-0.6953228896582426,6.2668473127676824e-06,0.0,True
2,CI,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,equal_observation,0.005383340697940381,0.003877055169878961,-0.0024243445030452436,-0.6148258762655501,2.8980357070101233e-05,0.0,True
2,CI,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,target_exposure_weighted,0.0042293884365208045,0.0033852013534060106,-0.002530209576341376,-1.0748659249289263,1.7887726546975896e-05,0.0,True
3,CRE,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,equal_observation,0.003000381344949263,0.0017884645275511178,-0.0006197460363674637,-0.46358026436523714,9.002288215119549e-06,0.0,True
3,CRE,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,target_exposure_weighted,0.002504822234841577,0.0015093209322281798,-0.000285904433870583,-0.4259396790254746,6.274134428156753e-06,0.0,True
3,CI,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,equal_observation,0.005008692429525647,0.0037726287839153325,-0.0019664194378635276,-0.294976302737294,2.5086999853587528e-05,0.0,True
3,CI,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,target_exposure_weighted,0.00406332150363181,0.0032201452471718435,-0.0014793525382388235,-0.1005513987195985,1.6510581641876674e-05,0.0,True
4,CRE,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,443,equal_observation,0.004076179306161539,0.0019986266399658007,0.00019568299887097584,-0.07940032912611716,1.6615237735979566e-05,0.0,True
4,CRE,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,442,target_exposure_weighted,0.0035627149767229276,0.0020409679441093873,0.000810102288966625,0.10273559162481016,1.2692938005365851e-05,0.0,True
4,CI,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,equal_observation,0.004862817291585026,0.0035793996853007897,-0.0011756328157913722,-0.06260788375745796,2.3646992011338333e-05,0.0,True
4,CI,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,target_exposure_weighted,0.003884974991757869,0.0030543784273686534,-0.0011574426184077957,0.05918497433715897,1.5093030686584055e-05,0.0,True
