variant,term,estimate,bank_clustered_se,ci95_low,ci95_high,nobs,banks,matrix_rank,matrix_columns,exposure_definition,exposure_timing,shock_definition,interaction_sign_for_decline,max_exposure_as_of_date,exposure_after_forecast_origin_count
primary,lagged_nco_rate,0.17374780163031478,0.09216957690324908,-0.006904569100053409,0.354400172360683,1711,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.17374780163031478,2025-06-30,0
primary,lagged_noncurrent_ratio,0.06870375539225104,0.07293084564333283,-0.0742407020686813,0.2116482128531834,1711,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.06870375539225104,2025-06-30,0
primary,lagged_allowance_coverage,-2.312227987289466e-05,2.1584114014864856e-05,-6.542714334202977e-05,1.9182583596240456e-05,1711,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,2.312227987289466e-05,2025-06-30,0
primary,lagged_loan_growth,-0.008030645333933436,0.005922111881703758,-0.0196379846220728,0.0035766939542059284,1711,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,0.008030645333933436,2025-06-30,0
primary,lagged_exposure,0.000339533066924436,0.00037196045048928217,-0.0003895094160345571,0.0010685755498834291,1711,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.000339533066924436,2025-06-30,0
primary,exposure_x_cre_price_shock,-2.8580145255620056e-06,1.3374784357072887e-05,-2.9072591865424864e-05,2.3356562814300852e-05,1711,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,2.8580145255620056e-06,2025-06-30,0
cre_share_alternative,lagged_nco_rate,0.17120780970058147,0.0919642175000242,-0.00904205659946597,0.35145767600062894,1711,33,6,6,cre_share,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.17120780970058147,2025-06-30,0
cre_share_alternative,lagged_noncurrent_ratio,0.06897742007230474,0.07152143750710395,-0.07120459744161899,0.20915943758622846,1711,33,6,6,cre_share,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.06897742007230474,2025-06-30,0
cre_share_alternative,lagged_allowance_coverage,-2.1743691119612584e-05,2.183212761152012e-05,-6.453466123819201e-05,2.1047278998966847e-05,1711,33,6,6,cre_share,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,2.1743691119612584e-05,2025-06-30,0
cre_share_alternative,lagged_loan_growth,-0.006192785754376996,0.006400813468538308,-0.018738380152712078,0.006352808643958088,1711,33,6,6,cre_share,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,0.006192785754376996,2025-06-30,0
cre_share_alternative,lagged_exposure,0.005953259154140932,0.0027357068981009626,0.0005912736338630452,0.011315244674418818,1711,33,6,6,cre_share,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.005953259154140932,2025-06-30,0
cre_share_alternative,exposure_x_cre_price_shock,-7.738975571406987e-05,0.00011156770952032113,-0.0002960624663738993,0.00014128295494575952,1711,33,6,6,cre_share,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,7.738975571406987e-05,2025-06-30,0
pre_2022_exposure_forward,lagged_nco_rate,0.00916226631357812,0.08456737821520476,-0.1565897949882232,0.17491432761537942,443,33,5,5,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.00916226631357812,2021-12-31,0
pre_2022_exposure_forward,lagged_noncurrent_ratio,-0.045453294990768,0.05361722846386845,-0.15054306277995017,0.05963647279841415,443,33,5,5,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,0.045453294990768,2021-12-31,0
pre_2022_exposure_forward,lagged_allowance_coverage,-0.0001351090033207185,0.00018785245424889663,-0.0005032998136485559,0.0002330818070071189,443,33,5,5,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,0.0001351090033207185,2021-12-31,0
pre_2022_exposure_forward,lagged_loan_growth,0.006324872976039042,0.0037995441093148083,-0.001122233478217982,0.013771979430296066,443,33,5,5,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,-0.006324872976039042,2021-12-31,0
pre_2022_exposure_forward,exposure_x_cre_price_shock,-1.8231127370798257e-05,3.733437702801936e-05,-9.14065063457162e-05,5.494425160411968e-05,443,33,5,5,cre_to_tier1,report_period_at_or_before_forecast_origin,CRE year-over-year price growth; decline magnitude equals negative growth,1.8231127370798257e-05,2021-12-31,0
