bank_id,lagged_exposure,exposure_as_of_date,required_exposure_date,exposure_available,status
12311,1.367619279038478,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
143662,4.010836354663562,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
1842065,2.370210600284967,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
1929247,4.000939648838306,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
197478,3.0540089253400096,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
208244,3.10841083476083,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
229801,,,2021-12-31,False,UNAVAILABLE_NO_VALID_2021Q4_EXPOSURE
233031,1.1185286103542234,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
276579,3.2167535200835466,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
280110,1.1331067375945536,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
2925666,3.2291669372868417,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
3138146,2.4021070504257,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
3212149,0.15780393819978109,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
3303298,1.0044413845461861,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
339858,2.1695064674617335,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
379920,3.194600235572325,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
395238,3.6507892655247427,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
413208,0.3201365204638125,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
485559,2.685903406570668,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
491224,3.528570316729396,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
501105,2.8080979102714303,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
60143,1.7902803248624575,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
606046,,,2021-12-31,False,UNAVAILABLE_NO_VALID_2021Q4_EXPOSURE
619877,0.00035057931848942955,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
63069,1.9103884701593905,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
682563,2.2730186305086075,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
694904,7.9625105000657515,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
722777,1.3885332397264654,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
723112,0.8581281734315214,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
761806,2.153046756662448,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
936855,2.1216496481648286,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
940311,1.040520260130065,2021-12-31,2021-12-31,True,AVAILABLE_EXACT_2021Q4
962966,,,2021-12-31,False,UNAVAILABLE_NO_VALID_2021Q4_EXPOSURE
