window,segment,term,estimate,clustered_se,ci95_low,ci95_high,nobs,entities,matrix_rank,matrix_columns,condition_number,recursive_stable_if_lag
1,CRE,lagged_nco_rate,0.0716463798017014,0.09924407310199478,-0.12287200347820836,0.26616476308161113,263,17,9,9,1224.7103346971383,True
1,CRE,lagged_noncurrent_ratio,0.13104484745516487,0.1442136492378216,-0.15161390505096545,0.4137035999612952,263,17,9,9,1224.7103346971383,
1,CRE,lagged_allowance_coverage,-3.52339013136771e-05,2.4309649874928218e-05,-8.28808150685364e-05,1.2413012441182204e-05,263,17,9,9,1224.7103346971383,
1,CRE,lagged_loan_growth,-0.030956299447445098,0.009106970735353466,-0.048805962088737886,-0.013106636806152306,263,17,9,9,1224.7103346971383,
1,CRE,lagged_tier1_ratio,0.07016875739239067,0.021416226008015612,0.02819295441668007,0.11214456036810128,263,17,9,9,1224.7103346971383,
1,CRE,lagged_cre_price_growth,-0.00010383761718894409,6.425073255619813e-05,-0.00022976905299909242,2.2093818621204237e-05,263,17,9,9,1224.7103346971383,
1,CRE,lagged_gdp_growth,0.0006141555586009358,0.001611632149704786,-0.002544643454820445,0.0037729545720223165,263,17,9,9,1224.7103346971383,
1,CRE,lagged_bbb_spread,0.0025654460141077305,0.001222004443210255,0.00017031730541563084,0.00496057472279983,263,17,9,9,1224.7103346971383,
1,CRE,lagged_short_rate,0.0009254683905864348,0.0007134269877457885,-0.00047284850539531056,0.00232378528656818,263,17,9,9,1224.7103346971383,
1,CI,lagged_nco_rate,0.04448497807502643,0.05800030282180696,-0.0691956154557152,0.15816557160576808,635,31,9,9,632.2452045967267,True
1,CI,lagged_noncurrent_ratio,0.15078316734441508,0.03123619740675771,0.08956022042716996,0.2120061142616602,635,31,9,9,632.2452045967267,
1,CI,lagged_allowance_coverage,2.7118728194092143e-06,1.3906564987218821e-05,-2.4544994555539674e-05,2.9968740194358102e-05,635,31,9,9,632.2452045967267,
1,CI,lagged_loan_growth,0.005557008914745375,0.028912423951696343,-0.05111134203057946,0.062225359860070203,635,31,9,9,632.2452045967267,
1,CI,lagged_tier1_ratio,-0.0815869277330348,0.03179404519880856,-0.14390325632269957,-0.019270599143370024,635,31,9,9,632.2452045967267,
1,CI,lagged_gdp_growth,0.00126925188038451,0.0010812355881010152,-0.00084996987229348,0.0033884736330625,635,31,9,9,632.2452045967267,
1,CI,lagged_bbb_spread,0.00400941527388588,0.0012982797943125123,0.0014647868770333557,0.006554043670738404,635,31,9,9,632.2452045967267,
1,CI,lagged_unemployment_rate,0.0005218438906052258,0.0007302197748807477,-0.0009093868681610397,0.0019530746493714912,635,31,9,9,632.2452045967267,
1,CI,lagged_short_rate,0.00016242785065253144,0.0008133242662612607,-0.0014316877112195395,0.0017565434125246023,635,31,9,9,632.2452045967267,
2,CRE,lagged_nco_rate,0.13770178754774617,0.11454900223229313,-0.08681425682754834,0.3622178319230407,707,33,9,9,1205.7690129925752,True
2,CRE,lagged_noncurrent_ratio,0.10789900279226251,0.10009903559475503,-0.08829510697345734,0.3040931125579824,707,33,9,9,1205.7690129925752,
2,CRE,lagged_allowance_coverage,-1.0360065355102832e-05,1.9945661306825408e-05,-4.945356151648063e-05,2.8733430806274966e-05,707,33,9,9,1205.7690129925752,
2,CRE,lagged_loan_growth,-0.01443762746635925,0.008085186195677376,-0.030284592409886908,0.0014093374771684073,707,33,9,9,1205.7690129925752,
2,CRE,lagged_tier1_ratio,-0.00040035485037253943,0.01871886889563101,-0.03708933788580932,0.03628862818506424,707,33,9,9,1205.7690129925752,
2,CRE,lagged_cre_price_growth,-0.00013323538427108934,4.819716583288477e-05,-0.0002277018293035435,-3.876893923863518e-05,707,33,9,9,1205.7690129925752,
2,CRE,lagged_gdp_growth,-0.00011164472014599491,0.00038503161461399797,-0.000866306684789431,0.000643017244497441,707,33,9,9,1205.7690129925752,
2,CRE,lagged_bbb_spread,0.001193831316520346,0.0005924639178123998,3.2602037608042396e-05,0.0023550605954326493,707,33,9,9,1205.7690129925752,
2,CRE,lagged_short_rate,0.0008121137245890839,0.0003358148248235924,0.00015391666793484278,0.001470310781243325,707,33,9,9,1205.7690129925752,
2,CI,lagged_nco_rate,0.0842022090087852,0.07425028601630485,-0.06132835158317229,0.22973276960074268,1177,32,9,9,589.9304859695982,True
2,CI,lagged_noncurrent_ratio,0.10679033017134482,0.04834654668051414,0.0120310986775371,0.20154956166515253,1177,32,9,9,589.9304859695982,
2,CI,lagged_allowance_coverage,2.341470412623759e-05,1.1732644971833837e-05,4.1871998144327126e-07,4.641068827103191e-05,1177,32,9,9,589.9304859695982,
2,CI,lagged_loan_growth,0.001969263404799318,0.020605145818801813,-0.03841682240005224,0.042355349209650874,1177,32,9,9,589.9304859695982,
2,CI,lagged_tier1_ratio,-0.0801409321094769,0.030342427691294496,-0.1396120903844141,-0.02066977383453969,1177,32,9,9,589.9304859695982,
2,CI,lagged_gdp_growth,0.0008568187917482834,0.0006946169769487486,-0.0005046304830712637,0.0022182680665678305,1177,32,9,9,589.9304859695982,
2,CI,lagged_bbb_spread,0.0043813763677364535,0.0008322072171752839,0.002750250222072897,0.0060125025134000094,1177,32,9,9,589.9304859695982,
2,CI,lagged_unemployment_rate,0.0012246669032743964,0.000401541621738713,0.000437645324666519,0.002011688481882274,1177,32,9,9,589.9304859695982,
2,CI,lagged_short_rate,0.0015629532638214343,0.00034209483769826116,0.0008924473819328424,0.002233459145710026,1177,32,9,9,589.9304859695982,
3,CRE,lagged_nco_rate,0.15828907025308345,0.11411365707175566,-0.06537369760755765,0.3819518381137246,1031,33,9,9,1182.2934806859746,True
3,CRE,lagged_noncurrent_ratio,0.09199457895818407,0.08777477091986276,-0.08004397204474693,0.26403312996111505,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_allowance_coverage,-8.43823278437805e-06,1.5790245675701868e-05,-3.9387114308753714e-05,2.251064873999761e-05,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_loan_growth,-0.009561907351929586,0.008604487705290143,-0.026426703254298266,0.007302888550439096,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_tier1_ratio,-0.0018255138320896246,0.00610489683663224,-0.013791111631888814,0.010140083967709566,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_cre_price_growth,-0.00011910550163483304,4.2528058798191315e-05,-0.00020246049687928802,-3.5750506390378064e-05,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_gdp_growth,-5.6018903423099444e-05,0.0003886444487098396,-0.000817762022894385,0.0007057242160481861,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_bbb_spread,0.0012996720540157083,0.0005189408624539497,0.0002825479636059669,0.0023167961444254498,1031,33,9,9,1182.2934806859746,
3,CRE,lagged_short_rate,0.0006388432414556643,0.0002683506136936618,0.00011287603861608725,0.0011648104442952413,1031,33,9,9,1182.2934806859746,
3,CI,lagged_nco_rate,0.11871799875262368,0.07907543309469185,-0.036269850112972346,0.2737058476182197,1489,32,9,9,576.4237088114182,True
