window,segment,model,train_start,train_end,test_start,test_end,n,weighting,rmse,mae,bias,r2_vs_test_mean,weighted_sse,sse_improvement_vs_ar,common_scoring_keys_verified
1,CRE,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,equal_observation,0.005286418196018752,0.004350194187387095,-0.002331037172139982,-2.0481232390377,2.7946217343198157e-05,-0.3815958649741584,True
1,CRE,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,target_exposure_weighted,0.0061342897244393586,0.005114715209207036,-0.0032140990097179233,-4.7189640390215715,3.7629510423362304e-05,-1.7346997567377929,True
1,CI,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,equal_observation,0.009666092618770702,0.006860589561241083,-0.00570782098537939,-1.3048008685648265,9.343334651465345e-05,-0.13643336154915553,True
1,CI,dynamic_fe,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,target_exposure_weighted,0.006633474925807705,0.005206339664646309,-0.004070847154808533,-2.036759138898075,4.4002989591319544e-05,0.06965997852726413,True
2,CRE,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,equal_observation,0.003939884055584498,0.002245226717909686,-0.0007879155031988136,-0.5500258228445849,1.5522686371448953e-05,-0.15376842657708245,True
2,CRE,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,324,target_exposure_weighted,0.003649581874043802,0.002319646107852206,0.00015712449745247333,-2.603209668245472,1.3319447855349071e-05,-1.1253825393532186,True
2,CI,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,equal_observation,0.007776986785077818,0.005689835412510899,0.004970037351192693,-2.3701147599834846,6.0481523455275015e-05,-1.0869833766704429,True
2,CI,dynamic_fe,2005-01-01,2016-12-31,2017-01-01,2019-12-31,312,target_exposure_weighted,0.006362329484582303,0.004873541274831215,0.004599265156704487,-3.6953417025341295,4.047923647038531e-05,-1.2629614984375275,True
3,CRE,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,equal_observation,0.003095801035043081,0.001936788793894722,-0.0003423375350354974,-0.5581516134892597,9.58398404857381e-06,-0.0646164419038806,True
3,CRE,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,237,target_exposure_weighted,0.0028098195837195686,0.0018976776751548352,0.0003625104030908987,-0.7943377940525462,7.89508609305401e-06,-0.25835462779101914,True
3,CI,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,equal_observation,0.0056992989399599365,0.0041385200298430565,0.0004014367236057022,-0.6767023318015526,3.2482008407028456e-05,-0.29477452850478714,True
3,CI,dynamic_fe,2005-01-01,2019-12-31,2020-01-01,2021-12-31,231,target_exposure_weighted,0.004940747466284419,0.003680886002216501,0.0006588927260453751,-0.6271712800340072,2.4410985525595907e-05,-0.47850548545673366,True
4,CRE,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,443,equal_observation,0.004223546443159508,0.0026908877427623138,-0.0006541678143450947,-0.15885883141850488,1.7838344557525335e-05,-0.07361356129724128,True
4,CRE,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,442,target_exposure_weighted,0.0039479524524491175,0.002668758358065003,-0.00020839164598361408,-0.1017983286704891,1.5586328566799002e-05,-0.22795278447038747,True
4,CI,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,equal_observation,0.004827971613169397,0.003452514995072418,0.00038669120922822284,-0.047433705319769315,2.3309309897569503e-05,0.014280129735186442,True
4,CI,dynamic_fe,2005-01-01,2021-12-31,2022-01-01,2025-12-31,458,target_exposure_weighted,0.003907362227405527,0.002995384959350004,0.00012339422057400834,0.04831080731748416,1.526747957615548e-05,-0.011558241230271271,True
