form,period_bucket,segment,observations,exposure_complete,flow_complete,scope_match,usable_rate,eligible,reported_zero,missing_required,not_applicable
31,2005-2007,CI,180,180,178,180,151,151,0,0,0
31,2005-2007,CRE,180,0,178,0,0,0,0,0,180
31,2005-2007,Mortgage,180,0,178,0,0,0,0,0,180
31,2008-2012,CI,366,366,363,366,338,338,0,0,0
31,2008-2012,CRE,366,0,363,0,0,0,0,0,366
31,2008-2012,Mortgage,366,0,363,0,0,0,0,0,366
31,2013-2019,CI,427,427,425,427,406,406,0,0,0
31,2013-2019,CRE,427,402,425,402,369,369,0,8,17
31,2013-2019,Mortgage,427,402,425,402,369,369,0,8,17
31,2020-2025,CI,411,411,409,411,376,376,20,0,0
31,2020-2025,CRE,411,411,409,411,393,392,3,0,0
31,2020-2025,Mortgage,411,411,409,411,395,395,0,0,0
41,2005-2007,CI,191,191,190,191,151,151,0,0,0
41,2005-2007,CRE,191,191,190,191,151,149,0,0,0
41,2005-2007,Mortgage,191,191,190,191,151,151,0,0,0
41,2008-2012,CI,262,262,262,262,229,229,4,0,0
41,2008-2012,CRE,262,262,262,262,232,232,0,0,0
41,2008-2012,Mortgage,262,262,262,262,232,232,0,0,0
41,2013-2019,CI,485,485,485,485,403,403,28,0,0
41,2013-2019,CRE,485,485,485,485,431,431,0,0,0
41,2013-2019,Mortgage,485,485,485,485,431,431,0,0,0
41,2020-2025,CI,373,373,373,373,347,347,4,0,0
41,2020-2025,CRE,373,373,373,373,351,351,0,0,0
41,2020-2025,Mortgage,373,373,373,373,351,351,0,0,0
