report_period,file_name,expected_sha256,actual_sha256,hash_match,size_bytes
2005-03-31,FFIEC CDR Call Bulk All Schedules 03312005.zip,ca539a99d71fb9a65c70e5907858d11028f0159de2f4f5d26d64f8c8dd3306ab,ca539a99d71fb9a65c70e5907858d11028f0159de2f4f5d26d64f8c8dd3306ab,True,7968615
2005-06-30,FFIEC CDR Call Bulk All Schedules 06302005.zip,4b4302fce862534c0c977a34bad3d7127934dbdccf3abb6aaa28eb62909743fb,4b4302fce862534c0c977a34bad3d7127934dbdccf3abb6aaa28eb62909743fb,True,8289085
2005-09-30,FFIEC CDR Call Bulk All Schedules 09302005.zip,3f93385601d074b89db14bb51419b3101e9c5fb9573e13d2c8b90490f712b10e,3f93385601d074b89db14bb51419b3101e9c5fb9573e13d2c8b90490f712b10e,True,8197214
2005-12-31,FFIEC CDR Call Bulk All Schedules 12312005.zip,3ab8841403fc546d1f2658fac2bb73d8428433cff4f4b78fd78ff14027253b33,3ab8841403fc546d1f2658fac2bb73d8428433cff4f4b78fd78ff14027253b33,True,8443903
2006-03-31,FFIEC CDR Call Bulk All Schedules 03312006.zip,5426fbba27db000c7e5a9af8c6c673eeb4c18557c34742c52130b41af5c6cc96,5426fbba27db000c7e5a9af8c6c673eeb4c18557c34742c52130b41af5c6cc96,True,8044988
2006-06-30,FFIEC CDR Call Bulk All Schedules 06302006.zip,5f9d12b62b419111930326393f5e6889ce9d184faa3133b1370774d75ea9e46b,5f9d12b62b419111930326393f5e6889ce9d184faa3133b1370774d75ea9e46b,True,8446083
2006-09-30,FFIEC CDR Call Bulk All Schedules 09302006.zip,52bd990d96bd9ecffd9df0ccf829f13510f84f9d49753bec2819b20a7af25c55,52bd990d96bd9ecffd9df0ccf829f13510f84f9d49753bec2819b20a7af25c55,True,8269568
2006-12-31,FFIEC CDR Call Bulk All Schedules 12312006.zip,e583a7a3cc673aab39ddbe5d3bc329f7925e58afa3666c23e8b4292dd7428ffd,e583a7a3cc673aab39ddbe5d3bc329f7925e58afa3666c23e8b4292dd7428ffd,True,8344968
2007-03-31,FFIEC CDR Call Bulk All Schedules 03312007.zip,258a9474d0e45ba0ef3f0237c9cb6e3e37b48c955d796a04520ceef34e78ef27,258a9474d0e45ba0ef3f0237c9cb6e3e37b48c955d796a04520ceef34e78ef27,True,8210891
2007-06-30,FFIEC CDR Call Bulk All Schedules 06302007.zip,1ac5013bfbb71282731f6d4a55dbb1d13e6aa9072987da9777d59880150e926a,1ac5013bfbb71282731f6d4a55dbb1d13e6aa9072987da9777d59880150e926a,True,8575145
2007-09-30,FFIEC CDR Call Bulk All Schedules 09302007.zip,bd41a07e3ab802fa1dfd9f55cb465316f44634efab204cb999cc395bda4a2a37,bd41a07e3ab802fa1dfd9f55cb465316f44634efab204cb999cc395bda4a2a37,True,8318471
2007-12-31,FFIEC CDR Call Bulk All Schedules 12312007.zip,e2803df6e6dde0887474fbc3598235c2f5d3c489652511d39b796ed14b831965,e2803df6e6dde0887474fbc3598235c2f5d3c489652511d39b796ed14b831965,True,8479624
2008-03-31,FFIEC CDR Call Bulk All Schedules 03312008.zip,b6ab096041937ef271f94dc211b68924f1036236f22b07dce353525dc7e3183b,b6ab096041937ef271f94dc211b68924f1036236f22b07dce353525dc7e3183b,True,8107251
2008-06-30,FFIEC CDR Call Bulk All Schedules 06302008.zip,843f5e685ee49d8cbd17a83b562b84b62085f6c53b5850169722115f88fef9e5,843f5e685ee49d8cbd17a83b562b84b62085f6c53b5850169722115f88fef9e5,True,8624774
2008-09-30,FFIEC CDR Call Bulk All Schedules 09302008.zip,0ae0098cf33ba9696348e0faca34d9d088a09dce6d328cbe6db34aff68fed8a3,0ae0098cf33ba9696348e0faca34d9d088a09dce6d328cbe6db34aff68fed8a3,True,8441049
2008-12-31,FFIEC CDR Call Bulk All Schedules 12312008.zip,1c1e5c5578f3a7950604df2fd2d166b0849f8eca146b419919f0ef639a6eda9d,1c1e5c5578f3a7950604df2fd2d166b0849f8eca146b419919f0ef639a6eda9d,True,8620922
2009-03-31,FFIEC CDR Call Bulk All Schedules 03312009.zip,afc67290e7b8f7ee4dcbd02d7422822edaf4473f9bd729f59016daf9e4996261,afc67290e7b8f7ee4dcbd02d7422822edaf4473f9bd729f59016daf9e4996261,True,8223296
2009-06-30,FFIEC CDR Call Bulk All Schedules 06302009.zip,21adb939141f23d280aa8a135fc07fee9f5ac24ffd4ac21e177e48f429870bc2,21adb939141f23d280aa8a135fc07fee9f5ac24ffd4ac21e177e48f429870bc2,True,8918551
2009-09-30,FFIEC CDR Call Bulk All Schedules 09302009.zip,ea6ad42ee094065e1ba95a0e4d9547e60215019f1026dbd45bc88e01f4186489,ea6ad42ee094065e1ba95a0e4d9547e60215019f1026dbd45bc88e01f4186489,True,8679728
2009-12-31,FFIEC CDR Call Bulk All Schedules 12312009.zip,244954f93918211574a4b6ff9904a1e564c2ee571bea67cb610abe4a21df352f,244954f93918211574a4b6ff9904a1e564c2ee571bea67cb610abe4a21df352f,True,8893374
2010-03-31,FFIEC CDR Call Bulk All Schedules 03312010.zip,589f9c3df9e2ec5938a7360426fb6446d2fce134bdac80d0ac337b379a2bcc4a,589f9c3df9e2ec5938a7360426fb6446d2fce134bdac80d0ac337b379a2bcc4a,True,8682698
2010-06-30,FFIEC CDR Call Bulk All Schedules 06302010.zip,f7ba9c82287dddd49d85d3db2a6e269524ab792d9ca6fe42375c4d23454bc76c,f7ba9c82287dddd49d85d3db2a6e269524ab792d9ca6fe42375c4d23454bc76c,True,8714355
2010-09-30,FFIEC CDR Call Bulk All Schedules 09302010.zip,47169cae8eb0145227a238912362d7ded2a6c683dbfc70d8e64369e3c3f42533,47169cae8eb0145227a238912362d7ded2a6c683dbfc70d8e64369e3c3f42533,True,8759207
2010-12-31,FFIEC CDR Call Bulk All Schedules 12312010.zip,4d2da023320603585eb3e6ae750e383cf555e272c74111ce54f3fd32225d3845,4d2da023320603585eb3e6ae750e383cf555e272c74111ce54f3fd32225d3845,True,8912663
2011-03-31,FFIEC CDR Call Bulk All Schedules 03312011.zip,d3b38b2c265039acc3dc9147d60f5aa0cef7b589295963d0b3d53d0ab8b877f4,d3b38b2c265039acc3dc9147d60f5aa0cef7b589295963d0b3d53d0ab8b877f4,True,8573536
2011-06-30,FFIEC CDR Call Bulk All Schedules 06302011.zip,ccc4e9a671d90b38afd1f018483106dbc1ded65f5a836ff5bf26e7b2e308e5e7,ccc4e9a671d90b38afd1f018483106dbc1ded65f5a836ff5bf26e7b2e308e5e7,True,8721083
2011-09-30,FFIEC CDR Call Bulk All Schedules 09302011.zip,7e9d057d53bb72706a5fa1484a0cfa1e855b5231846ecd58f614d2535109316e,7e9d057d53bb72706a5fa1484a0cfa1e855b5231846ecd58f614d2535109316e,True,8758502
2011-12-31,FFIEC CDR Call Bulk All Schedules 12312011.zip,25122692264adb8090e7371a1b197015400bd8983e7a4cd815c89a209a234dc7,25122692264adb8090e7371a1b197015400bd8983e7a4cd815c89a209a234dc7,True,8953532
2012-03-31,FFIEC CDR Call Bulk All Schedules 03312012.zip,7d4e18a85bf0065d8726acbdca4e05da5ef30669c2b092217957687ce45575c5,7d4e18a85bf0065d8726acbdca4e05da5ef30669c2b092217957687ce45575c5,True,9237382
2012-06-30,FFIEC CDR Call Bulk All Schedules 06302012.zip,9ce5617a9b22f573154b55aa290dc180d9a681495104311913eab0eea9e61393,9ce5617a9b22f573154b55aa290dc180d9a681495104311913eab0eea9e61393,True,9320283
2012-09-30,FFIEC CDR Call Bulk All Schedules 09302012.zip,afa1e734e9414d0bd6ce7489c59b1cc01772c573e1b0a0866cbde904a04af914,afa1e734e9414d0bd6ce7489c59b1cc01772c573e1b0a0866cbde904a04af914,True,9349302
2012-12-31,FFIEC CDR Call Bulk All Schedules 12312012.zip,eb8a30c78f7e97f626cb215f0b84dc04b91b73b40ec450154e276fd9541ca23e,eb8a30c78f7e97f626cb215f0b84dc04b91b73b40ec450154e276fd9541ca23e,True,9457137
2013-03-31,FFIEC CDR Call Bulk All Schedules 03312013.zip,5b8af57df1418a31ef27d1a5cdf9fedd28bb58495593e68ef2d1ae2b3ac45197,5b8af57df1418a31ef27d1a5cdf9fedd28bb58495593e68ef2d1ae2b3ac45197,True,8998063
2013-06-30,FFIEC CDR Call Bulk All Schedules 06302013.zip,a97b3ebef53edb054080277f6ec5253ee5134073d0a53c840f5668ff858eae1f,a97b3ebef53edb054080277f6ec5253ee5134073d0a53c840f5668ff858eae1f,True,9159152
2013-09-30,FFIEC CDR Call Bulk All Schedules 09302013.zip,4538417f60455b5705b58ba7d6630abe2a7a80b35696522bd9ffdad83c892793,4538417f60455b5705b58ba7d6630abe2a7a80b35696522bd9ffdad83c892793,True,9180618
2013-12-31,FFIEC CDR Call Bulk All Schedules 12312013.zip,46e9bc70546da136a1d7170e3031a5bec8538c8857955b55fb67b84ba9ecd69a,46e9bc70546da136a1d7170e3031a5bec8538c8857955b55fb67b84ba9ecd69a,True,9301159
2014-03-31,FFIEC CDR Call Bulk All Schedules 03312014.zip,571fd57586a109e8a3a4b8200a8d4f3b91042210ae6b2c88bb549953822b6948,571fd57586a109e8a3a4b8200a8d4f3b91042210ae6b2c88bb549953822b6948,True,8923944
2014-06-30,FFIEC CDR Call Bulk All Schedules 06302014.zip,3cfda96e5e04d78611c3846b2ee870e3cbb6cfa4e2f4393c53e61d1e559830e4,3cfda96e5e04d78611c3846b2ee870e3cbb6cfa4e2f4393c53e61d1e559830e4,True,8957025
2014-09-30,FFIEC CDR Call Bulk All Schedules 09302014.zip,16e25db1ec4fd2b8ad46a44a8d658cbd04a71a2b6c6c40323470148efd6f97a4,16e25db1ec4fd2b8ad46a44a8d658cbd04a71a2b6c6c40323470148efd6f97a4,True,8943985
2014-12-31,FFIEC CDR Call Bulk All Schedules 12312014.zip,32865ed3b3e78f3fc2ff9e24465b7b43b558a6d2175b33d0f1ca9d399885191d,32865ed3b3e78f3fc2ff9e24465b7b43b558a6d2175b33d0f1ca9d399885191d,True,9051604
2015-03-31,FFIEC CDR Call Bulk All Schedules 03312015.zip,a971134e5d959f9449a4a1e98b0b6fd839fe3a0d816e18383ed4fd98e8329b24,a971134e5d959f9449a4a1e98b0b6fd839fe3a0d816e18383ed4fd98e8329b24,True,8787483
2015-06-30,FFIEC CDR Call Bulk All Schedules 06302015.zip,f6887e487ec985bd86a2382dfcbc1d2817bb343010d9fc3bf241710dc45de70a,f6887e487ec985bd86a2382dfcbc1d2817bb343010d9fc3bf241710dc45de70a,True,8845893
2015-09-30,FFIEC CDR Call Bulk All Schedules 09302015.zip,a8591c4d2b4d46c81377c1803558c2219ff0660f4ca7bf85f3b335e0bcca78b8,a8591c4d2b4d46c81377c1803558c2219ff0660f4ca7bf85f3b335e0bcca78b8,True,8833964
2015-12-31,FFIEC CDR Call Bulk All Schedules 12312015.zip,fe189d41651d518dcb1494475a0ae36abbe08b83161adfdf76dda49735b20475,fe189d41651d518dcb1494475a0ae36abbe08b83161adfdf76dda49735b20475,True,8927826
2016-03-31,FFIEC CDR Call Bulk All Schedules 03312016.zip,0d6e0882cb7805d87b2ae8ccd29dae37184068a2065bac9b9309fd3ec86138cd,0d6e0882cb7805d87b2ae8ccd29dae37184068a2065bac9b9309fd3ec86138cd,True,8517435
