sample_change,form,segment,reason,observations,banks,first_date,last_date,exposure_old_mean,exposure_new_mean,exposure_mean_change,annualized_nco_rate_old_mean,annualized_nco_rate_new_mean,annualized_nco_rate_mean_change,cre_share_mean_change,cre_to_tier1_mean_change,eligible_old,eligible_new
COMMON,31,CI,all_required_components_reported_zero,20,1,2021-03-31,2025-12-31,0.0,0.0,0.0,,,,,,0,0
COMMON,31,CI,complete_required_component_set,1364,26,2005-03-31,2025-12-31,14472723.752932552,14520261.32771261,47537.574780058654,0.01206487653910921,0.005989629874701217,-0.00017389008803180982,,,1350,1271
COMMON,31,CRE,all_required_components_reported_zero,3,1,2025-06-30,2025-12-31,0.0,0.0,0.0,,0.0,,0.0,0.0,0,0
COMMON,31,CRE,complete_required_component_set,810,23,2013-06-30,2025-12-31,13015346.186419753,13953606.619753087,938260.4333333333,0.001441846546929057,0.0014334044267114423,3.129731419244087e-05,0.01888436938406759,0.12949928686636553,793,761
COMMON,31,CRE,"missing_required_components:RCFD1460,RCFDF158,RCFDF159,RCFDF160,RCFDF161",8,1,2013-06-30,2015-03-31,1205993.375,,,0.0021055145540904412,,,,,8,0
COMMON,31,CRE,no_verified_same_scope_stock_mapping,563,21,2005-03-31,2013-03-31,5434268.91651865,,,0.06905608064309694,,,,,549,0
COMMON,31,Mortgage,complete_required_component_set,813,23,2013-06-30,2025-12-31,11783057.749077491,11783057.749077491,0.0,0.0010035071003437006,0.0007255450623932538,0.0,,,813,764
COMMON,31,Mortgage,"missing_required_components:RCFD5367,RCFD5368",8,1,2013-06-30,2015-03-31,1685812.75,,,0.0006072792723458565,,,,,8,0
COMMON,31,Mortgage,no_verified_same_scope_stock_mapping,563,21,2005-03-31,2013-03-31,6671904.824156306,,,0.009745197541100687,,,,,549,0
COMMON,41,CI,all_required_components_reported_zero,36,1,2012-03-31,2020-12-31,0.0,0.0,0.0,,,,,,0,0
COMMON,41,CI,complete_required_component_set,1275,23,2005-03-31,2025-12-31,4200880.318431373,4200880.318431373,0.0,0.004333766469453104,0.00425795917356829,0.0,,,1257,1130
COMMON,41,CRE,complete_required_component_set,1311,24,2005-03-31,2025-12-31,7041349.250190694,8161631.52402746,1120282.273836766,0.01800725117746044,0.001759967840145896,-0.017095459500269413,0.0947185325609261,0.7726668527303341,1246,1163
COMMON,41,Mortgage,complete_required_component_set,1311,24,2005-03-31,2025-12-31,3097718.4446987035,3097718.4446987035,0.0,0.0017602165931450543,0.0016555294361241366,0.0,,,1292,1165
RETAINED_EXPLICIT_UNAVAILABLE,51,CI,unsupported_ffiec_051_no_verified_segment_mapping,20,1,2017-03-31,2021-12-31,23354.35,,,0.004933030642059073,,,,,20,0
RETAINED_EXPLICIT_UNAVAILABLE,51,CRE,unsupported_ffiec_051_no_verified_segment_mapping,20,1,2017-03-31,2021-12-31,63333.0,,,0.0005330029284582692,,,,,20,0
RETAINED_EXPLICIT_UNAVAILABLE,51,Mortgage,unsupported_ffiec_051_no_verified_segment_mapping,20,1,2017-03-31,2021-12-31,8323.45,,,0.0,,,,,20,0
