model,window,segment,bank_id,forecast_origin,target_period,nco_rate,prediction,error,absolute_error,squared_error,squared_error_share,data_audit_status,data_audit_reason,mapping_id
ar,1,CI,940311,2015-08-14,2015-09-30,-0.05894020969113063,0.04227934129413784,-0.10121955098526847,0.10121955098526847,0.010245397501659363,0.23781519284053085,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,940311,2012-05-15,2012-06-30,0.06497022198159177,0.028964907618026066,0.03600531436356571,0.03600531436356571,0.0012963826624191911,0.030091511120813808,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,940311,2014-08-14,2014-09-30,-0.006886657101865136,0.023537017356250838,-0.030423674458115973,0.030423674458115973,0.0009255999675334182,0.02148493845519392,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,694904,2013-08-14,2013-09-30,-0.014677738463833068,0.0147273457218193,-0.029405084185652366,0.029405084185652366,0.0008646589759653029,0.02007038195220638,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,940311,2016-08-14,2016-09-30,-0.0022541561003099463,0.022460469860765483,-0.02471462596107543,0.02471462596107543,0.0006108127363958637,0.014178127170947541,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,694904,2012-05-15,2012-06-30,-0.005357549456878424,0.01443439858939727,-0.019791948046275695,0.019791948046275695,0.00039172120746647633,0.009092595429145403,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,940311,2016-02-14,2016-03-31,0.006688963210702341,0.025043941300193346,-0.018354978089491006,0.018354978089491006,0.0003369052206656949,0.007820211954550056,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,940311,2014-05-15,2014-06-30,0.011477761836441894,0.029242824092644573,-0.01776506225620268,0.01776506225620268,0.00031559743696675703,0.007325617704932458,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,940311,2012-08-14,2012-09-30,0.017635712317442823,0.03531405361463916,-0.017678341297196334,0.017678341297196334,0.00031252375102015735,0.007254271598936723,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,485559,2012-02-14,2012-03-31,-0.001171915256982171,0.016488834535797255,-0.017660749792779425,0.017660749792779425,0.00031190208324315854,0.007239841505595222,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,962966,2014-02-14,2014-03-31,-0.01307031344547985,0.004411680050015369,-0.01748199349549522,0.01748199349549522,0.0003056200965765371,0.007094024628280091,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,694904,2014-05-15,2014-06-30,-0.0002304243696813375,0.01681573623366862,-0.017046160603349958,0.017046160603349958,0.0002905715913152002,0.006744720154724335,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,694904,2012-02-14,2012-03-31,0.0029663093741342937,0.019741413665416596,-0.016775104291282303,0.016775104291282303,0.00028140412398339795,0.0065319257745142245,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,197478,2015-05-15,2015-06-30,-0.001601243124482246,0.015170011983378189,-0.016771255107860435,0.016771255107860435,0.0002812749978929347,0.0065289285119776285,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,694904,2016-11-14,2016-12-31,-0.0029748102915203817,0.013745070985253988,-0.01671988127677437,0.01671988127677437,0.0002795544299094301,0.006488990851508513,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,208244,2013-05-15,2013-06-30,-0.0060742311390640305,0.010274251684294335,-0.016348482823358365,0.016348482823358365,0.0002672728906256435,0.006203912929184931,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,940311,2013-08-14,2013-09-30,0.013422818791946308,0.029437318596551777,-0.016014499804605467,0.016014499804605467,0.00025646420399170854,0.005953022722554511,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,940311,2016-05-15,2016-06-30,0.006587976942080703,0.02248270325485372,-0.015894726312773017,0.015894726312773017,0.00025264232455795893,0.005864309620461282,PRESENT,complete_required_component_set,CI_31_consolidated_bank
ar,1,CI,229801,2014-05-15,2014-06-30,-0.0069292269242871435,0.00895709324684033,-0.015886320171127476,0.015886320171127476,0.0002523751685795717,0.00585810842128786,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CI,694904,2013-02-14,2013-03-31,-0.00036590292900212683,0.015197956558900194,-0.01556385948790232,0.01556385948790232,0.00024223372215916708,0.005622706131063414,PRESENT,complete_required_component_set,CI_41_domestic_only_bank
ar,1,CRE,962966,2014-11-14,2014-12-31,0.019568934316772126,0.007362890420975947,0.012206043895796178,0.012206043895796178,0.00014898750758610314,0.02832921232042956,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
ar,1,CRE,962966,2015-02-14,2015-03-31,0.0,0.011630009446224469,-0.011630009446224469,0.011630009446224469,0.00013525711971927037,0.02571844931470198,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
ar,1,CRE,1842065,2012-02-14,2012-03-31,0.022543907851189402,0.011236177773094491,0.011307730078094911,0.011307730078094911,0.00012786475951905235,0.02431282984328394,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
ar,1,CRE,3303298,2015-02-14,2015-03-31,-0.00998136690264301,-3.4181818840167353e-06,-0.009977948720758993,0.009977948720758993,9.955946067409602e-05,0.01893072208295,PRESENT,complete_required_component_set,CRE_31_consolidated_bank
ar,1,CRE,606046,2015-05-15,2015-06-30,-0.007096085556498008,0.0022296939939287753,-0.009325779550426783,0.009325779550426783,8.697016422315838e-05,0.01653693177192456,PRESENT,complete_required_component_set,CRE_041_successor_secured_re
