window,segment,model,train_start,train_end,test_start,test_end,n,rmse,mae,oos_r2,bias,rmse_improvement_vs_ar,result_layer,weighting,r2_vs_test_mean,weighted_sse,sse_improvement_vs_ar,common_scoring_keys_verified,target_definition_comparable_to_valid_corrected
1,CRE,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,571,0.0635338189616948,0.0424698558653643,-59.84357481567486,-0.0419700035924374,-0.0491877174967375,OLD_INVALID,,,,,,False
1,CI,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,273,0.0069259364859875,0.0052456776363822,-1.7788956341955051,-0.0040258848157466,-0.4984897183656224,OLD_INVALID,,,,,,False
2,CRE,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,356,0.0354771101967642,0.0235062058417243,-152.90164304407986,-0.0234227333051943,-0.2889842700359177,OLD_INVALID,,,,,,False
2,CI,ar,2005-01-01,2016-12-31,2017-01-01,2019-12-31,191,0.0084889521598906,0.0047882988583485,-0.2888317863554404,-0.0016326334493061,-0.1267964184779396,OLD_INVALID,,,,,,False
3,CRE,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,241,0.0272772767478062,0.0176195341350769,-116.90180177432347,-0.0173243630405796,-1.5802134050001575,OLD_INVALID,,,,,,False
3,CI,ar,2005-01-01,2019-12-31,2020-01-01,2021-12-31,126,0.0048232189202529,0.0035909517435589,0.0116475186928386,-0.0017009390654774,-0.112815440865409,OLD_INVALID,,,,,,False
4,CRE,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,457,0.0235255824127354,0.0154621820076148,-50.75144180107429,-0.0146195752122752,-0.9071578670962774,OLD_INVALID,,,,,,False
4,CI,ar,2005-01-01,2021-12-31,2022-01-01,2025-12-31,222,0.0050989036832298,0.0038592305242463,0.1063434229751512,-0.0008159798856247,-0.0662838199240909,OLD_INVALID,,,,,,False
1,CRE,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,260,0.0044974982578456,0.0032734709805432,-1.2062336145561012,-0.0025173347581346,-0.1754130614274106,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
1,CI,ar,2005-01-01,2011-12-31,2012-01-01,2016-12-31,524,0.0090673204582014,0.0064989314620451,-1.0281003238262776,-0.0054328781174648,-0.0660362852873042,DATA_FIXED_SAME_SPEC_DIAGNOSTIC,,,,,,False
