bank_id,bank_name,scenario,scenario_type,model,formal_use,segment,cumulative_loss_thousands,cumulative_loss_thousands_unfloored,starting_tier1_thousands,exposure_thousands,modeled_credit_loss_burden,modeled_credit_loss_burden_unfloored
143662,COLUMBIA BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,baseline,Fed official,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,baseline,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,126221.99317238055,126221.99317238055,6338506.0,7690160.0,0.01991352428669793,0.01991352428669793
143662,COLUMBIA BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,126221.99317238055,126221.99317238055,6338506.0,7690160.0,0.01991352428669793,0.01991352428669793
143662,COLUMBIA BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,134223.13885764885,134223.13885764885,6338506.0,7690160.0,0.02117583210580677,0.02117583210580677
143662,COLUMBIA BANK,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,researcher_lambda_0.5,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,214417.51485439108,214417.51485439108,6338506.0,7690160.0,0.03382776869729098,0.03382776869729098
143662,COLUMBIA BANK,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,researcher_lambda_1,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,researcher_lambda_1,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,302601.3315056957,302601.3315056957,6338506.0,7690160.0,0.04774016645337177,0.04774016645337177
143662,COLUMBIA BANK,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,researcher_lambda_1.25,Researcher sensitivity scenario,dynamic_fe,LIMITED_CHALLENGER,CI,346688.6465962278,346688.6465962278,6338506.0,7690160.0,0.05469564067561469,0.05469564067561469
143662,COLUMBIA BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,researcher_unemployment_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,141741.89642190462,141741.89642190462,6338506.0,7690160.0,0.02236203553675024,0.02236203553675024
143662,COLUMBIA BANK,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CI,173163.24719419348,173163.24719419348,6338506.0,7690160.0,0.02731925270626761,0.02731925270626761
143662,COLUMBIA BANK,severely_adverse,Fed official,ar_mean,FORMAL_BASELINE,CRE,209017.1482237406,209017.1482237406,6338506.0,27260493.0,0.032975775083866864,0.032975775083866864
143662,COLUMBIA BANK,severely_adverse,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,302601.3315056957,302601.3315056957,6338506.0,7690160.0,0.04774016645337177,0.04774016645337177
1842065,CIBC BANK USA,baseline,Fed official,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,baseline,Fed official,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,baseline,Fed official,dynamic_fe,LIMITED_CHALLENGER,CI,24035.877264756826,10843.793547282463,8311267.0,11258083.0,0.002891963074313077,0.0013047100456864715
1842065,CIBC BANK USA,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,24035.877264756826,10843.793547282463,8311267.0,11258083.0,0.002891963074313077,0.0013047100456864715
1842065,CIBC BANK USA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CI,92790.90039287882,92790.90039287882,8311267.0,11258083.0,0.011164471120092619,0.011164471120092619
1842065,CIBC BANK USA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,FORMAL_BASELINE,CRE,136093.49913251717,136093.49913251717,8311267.0,17124047.0,0.016374579126445722,0.016374579126445722
1842065,CIBC BANK USA,researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,LIMITED_CHALLENGER,CI,25862.13860272749,22557.147004147137,8311267.0,11258083.0,0.003111696279607849,0.0027140443212986826
