scenario,scenario_type,model,segment,floor_use_count,path_rows,floored_loss_thousands,unfloored_loss_thousands,floor_effect_thousands
baseline,Fed official,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
baseline,Fed official,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
baseline,Fed official,dynamic_fe,CI,84,279,2278916.3360929247,2051540.7584292956,227375.57766362908
researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
researcher_cre_only,Researcher partial-shock sensitivity,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
researcher_cre_only,Researcher partial-shock sensitivity,dynamic_fe,CI,84,279,2278916.3360929247,2051540.7584292956,227375.57766362908
researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
researcher_high_for_longer_rates,Researcher partial-shock sensitivity,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
researcher_high_for_longer_rates,Researcher partial-shock sensitivity,dynamic_fe,CI,66,279,2618310.279778936,2515842.1206701905,102468.1591087454
researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
researcher_lambda_0.5,Researcher sensitivity scenario,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
researcher_lambda_0.5,Researcher sensitivity scenario,dynamic_fe,CI,4,279,7169602.33000767,7169470.423914532,131.90609313827008
researcher_lambda_1,Researcher sensitivity scenario,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
researcher_lambda_1,Researcher sensitivity scenario,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
researcher_lambda_1,Researcher sensitivity scenario,dynamic_fe,CI,4,279,12286838.751239799,12286720.853960797,117.8972790017724
researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
researcher_lambda_1.25,Researcher sensitivity scenario,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
researcher_lambda_1.25,Researcher sensitivity scenario,dynamic_fe,CI,4,279,14845190.532425277,14845079.526490228,111.00593504868448
researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
researcher_unemployment_only,Researcher partial-shock sensitivity,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
researcher_unemployment_only,Researcher partial-shock sensitivity,dynamic_fe,CI,43,279,2992532.177835509,2952150.8090459756,40381.36878953362
severely_adverse,Fed official,ar_mean,CI,0,279,5401896.149640466,5401896.149640466,0.0
severely_adverse,Fed official,ar_mean,CRE,19,279,1897486.8028631485,1886464.8821014853,11021.920761663234
severely_adverse,Fed official,dynamic_fe,CI,4,279,12286838.751239799,12286720.853960797,117.8972790017724
