bank_id,bank_name,model,formal_use,segment,starting_tier1_thousands,exposure_thousands,baseline_loss_thousands,severe_loss_thousands,severe_modeled_credit_loss_burden,capital_depletion,capital_depletion_reason,mortgage_loss_thousands,mortgage_loss_reason
143662,COLUMBIA BANK,ar_mean,FORMAL_BASELINE,CI,6338506.0,7690160.0,173163.24719419348,173163.24719419348,0.02731925270626761,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
143662,COLUMBIA BANK,ar_mean,FORMAL_BASELINE,CRE,6338506.0,27260493.0,209017.1482237406,209017.1482237406,0.032975775083866864,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
143662,COLUMBIA BANK,dynamic_fe,LIMITED_CHALLENGER,CI,6338506.0,7690160.0,126221.99317238055,302601.3315056957,0.04774016645337177,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
1842065,CIBC BANK USA,ar_mean,FORMAL_BASELINE,CI,8311267.0,11258083.0,92790.90039287882,92790.90039287882,0.011164471120092619,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
1842065,CIBC BANK USA,ar_mean,FORMAL_BASELINE,CRE,8311267.0,17124047.0,136093.49913251717,136093.49913251717,0.016374579126445722,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
1842065,CIBC BANK USA,dynamic_fe,LIMITED_CHALLENGER,CI,8311267.0,11258083.0,24035.877264756826,269056.0063544989,0.032372441693245914,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
1929247,SOUTHSTATE BANK NA,ar_mean,FORMAL_BASELINE,CI,6496379.0,7030269.0,63875.316556728205,63875.316556728205,0.009832449208509573,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
1929247,SOUTHSTATE BANK NA,ar_mean,FORMAL_BASELINE,CRE,6496379.0,26757495.0,118816.34653536408,118816.34653536408,0.018289626657460114,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
1929247,SOUTHSTATE BANK NA,dynamic_fe,LIMITED_CHALLENGER,CI,6496379.0,7030269.0,10437.060232705437,167411.94629841833,0.025770039940468118,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
197478,EAST WEST BANK,ar_mean,FORMAL_BASELINE,CI,7973536.0,9975903.0,156601.50701613145,156601.50701613145,0.01964015801974575,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
197478,EAST WEST BANK,ar_mean,FORMAL_BASELINE,CRE,7973536.0,21277817.0,12903.079744220784,12903.079744220784,0.0016182380996612774,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
197478,EAST WEST BANK,dynamic_fe,LIMITED_CHALLENGER,CI,7973536.0,9975903.0,67893.70449318275,296698.198862264,0.03721036675099529,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
208244,OLD NATIONAL BANK,ar_mean,FORMAL_BASELINE,CI,5899410.0,10728457.0,130843.03805892072,130843.03805892072,0.022179004012082688,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
208244,OLD NATIONAL BANK,ar_mean,FORMAL_BASELINE,CRE,5899410.0,22476599.0,20240.059655474437,20240.059655474437,0.0034308616718408177,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
208244,OLD NATIONAL BANK,dynamic_fe,LIMITED_CHALLENGER,CI,5899410.0,10728457.0,52659.26413857236,298724.12455726624,0.050636271179196946,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
229801,VALLEY NATIONAL BANK,ar_mean,FORMAL_BASELINE,CI,6297558.0,7892049.0,82640.5256829867,82640.5256829867,0.01312263034067915,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
229801,VALLEY NATIONAL BANK,ar_mean,FORMAL_BASELINE,CRE,6297558.0,29256828.0,66634.53794642835,66634.53794642835,0.010581012187014132,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
229801,VALLEY NATIONAL BANK,dynamic_fe,LIMITED_CHALLENGER,CI,6297558.0,7892049.0,25340.970072315016,206350.77750338294,0.032766792700183615,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
233031,REGIONS BANK,ar_mean,FORMAL_BASELINE,CI,14475000.0,25585000.0,392588.26928289677,392588.26928289677,0.027121814803654352,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
233031,REGIONS BANK,ar_mean,FORMAL_BASELINE,CRE,14475000.0,15164000.0,31463.814196631312,31463.814196631312,0.0021736659203199526,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
233031,REGIONS BANK,dynamic_fe,LIMITED_CHALLENGER,CI,14475000.0,25585000.0,192454.21001579694,779264.5457250499,0.05383520177720552,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
276579,ZIONS BCORP N A,ar_mean,FORMAL_BASELINE,CI,8002555.0,14635445.0,189390.60912722052,189390.60912722052,0.02366626772664737,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
276579,ZIONS BCORP N A,ar_mean,FORMAL_BASELINE,CRE,8002555.0,23051368.0,6931.744297826129,6931.744297826129,0.0008661913973507372,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
276579,ZIONS BCORP N A,dynamic_fe,LIMITED_CHALLENGER,CI,8002555.0,14635445.0,70929.86483248812,406604.29882523016,0.05080931012973109,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
280110,KEYBANK NATIONAL ASSN,ar_mean,FORMAL_BASELINE,CI,18376004.0,34702974.0,505419.8314730888,505419.8314730888,0.027504338346524566,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
280110,KEYBANK NATIONAL ASSN,ar_mean,FORMAL_BASELINE,CRE,18376004.0,17197128.0,55995.48700711812,55995.48700711812,0.0030472069448351296,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
280110,KEYBANK NATIONAL ASSN,dynamic_fe,LIMITED_CHALLENGER,CI,18376004.0,34702974.0,231243.26139193337,1027180.8741747934,0.05589794572175721,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
2925666,PINNACLE BANK,ar_mean,FORMAL_BASELINE,CI,5173602.0,12525901.0,126770.35902378193,126770.35902378193,0.024503307178206195,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
2925666,PINNACLE BANK,ar_mean,FORMAL_BASELINE,CRE,5173602.0,16602402.0,111343.66320028584,111343.66320028584,0.021521497633618866,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
2925666,PINNACLE BANK,dynamic_fe,LIMITED_CHALLENGER,CI,5173602.0,12525901.0,42848.81846467768,330139.3469333455,0.0638122814498188,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3138146,WESTERN ALLIANCE BANK,ar_mean,FORMAL_BASELINE,CI,7749556.0,11262949.0,139544.5159799493,139544.5159799493,0.018006775611396228,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3138146,WESTERN ALLIANCE BANK,ar_mean,FORMAL_BASELINE,CRE,7749556.0,15846473.0,89800.7608306667,89800.7608306667,0.011587858818062182,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3138146,WESTERN ALLIANCE BANK,dynamic_fe,LIMITED_CHALLENGER,CI,7749556.0,11262949.0,100328.01254901999,358651.8305582517,0.046280306969618865,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3212149,UBS BANK USA,ar_mean,FORMAL_BASELINE,CI,10296486.0,714102.0,327.41896299187425,327.41896299187425,3.1799097574830314e-05,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3212149,UBS BANK USA,ar_mean,FORMAL_BASELINE,CRE,10296486.0,1601812.0,8283.7936128328,8283.7936128328,0.0008045262833196491,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3212149,UBS BANK USA,dynamic_fe,LIMITED_CHALLENGER,CI,10296486.0,714102.0,0.0,11493.849942555387,0.0011162886000675753,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3303298,CITIZENS BANK NATIONAL ASSN,ar_mean,FORMAL_BASELINE,CI,20946432.0,26609508.0,247451.84477432564,247451.84477432564,0.01181355587311126,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
3303298,CITIZENS BANK NATIONAL ASSN,ar_mean,FORMAL_BASELINE,CRE,20946432.0,27557559.0,162224.48554093763,162224.48554093763,0.007744731204862844,,"Unavailable: limited R4 reports modeled credit-loss burden, not a capital roll-forward",,Unavailable: no approved Mortgage stress model
