sensitivity,model,segment,aggregate_cumulative_loss_thousands,mean_modeled_credit_loss_burden,status
baseline,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
baseline,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
baseline,dynamic_fe,CI,2278916.3360929247,0.006956500745295489,LIMITED_CHALLENGER
researcher_cre_only,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
researcher_cre_only,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
researcher_cre_only,dynamic_fe,CI,2278916.3360929247,0.006956500745295489,LIMITED_CHALLENGER
researcher_high_for_longer_rates,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
researcher_high_for_longer_rates,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
researcher_high_for_longer_rates,dynamic_fe,CI,2618310.2797789364,0.00803416927758841,LIMITED_CHALLENGER
researcher_lambda_0.5,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
researcher_lambda_0.5,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
researcher_lambda_0.5,dynamic_fe,CI,7169602.3300076695,0.022843635339807284,LIMITED_CHALLENGER
researcher_lambda_1,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
researcher_lambda_1,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
researcher_lambda_1,dynamic_fe,CI,12286838.7512398,0.03957829456298821,LIMITED_CHALLENGER
researcher_lambda_1.25,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
researcher_lambda_1.25,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
researcher_lambda_1.25,dynamic_fe,CI,14845190.532425279,0.0479447528690184,LIMITED_CHALLENGER
researcher_unemployment_only,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
researcher_unemployment_only,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
researcher_unemployment_only,dynamic_fe,CI,2992532.1778355096,0.009235992132360813,LIMITED_CHALLENGER
severely_adverse,ar_mean,CI,5401896.149640466,0.01722379872448032,FORMAL_BASELINE
severely_adverse,ar_mean,CRE,1897486.8028631487,0.007412978509569198,FORMAL_BASELINE
severely_adverse,dynamic_fe,CI,12286838.7512398,0.03957829456298821,LIMITED_CHALLENGER
exposure_-5%,ar_mean,CRE+CI,6934413.804878433,0.023404938372347042,RESEARCHER_SENSITIVITY
exposure_+5%,ar_mean,CRE+CI,7664352.100128795,0.025868616095751994,RESEARCHER_SENSITIVITY
