variant,term,estimate,bank_clustered_se,ci95_low,ci95_high,nobs,banks,matrix_rank,matrix_columns,exposure_definition,exposure_timing,shock_definition,shock_information_set,shock_period_equals_target_period,interaction_sign_for_decline,max_exposure_as_of_date,exposure_after_forecast_origin_count
primary,lagged_nco_rate,0.17596317955578955,0.09430312093288139,-0.008870937472657964,0.3607972965842371,1682,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,-0.17596317955578955,2025-03-31,0
primary,lagged_noncurrent_ratio,0.069950901934874,0.07364675282586357,-0.0743967336038186,0.21429853747356659,1682,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,-0.069950901934874,2025-03-31,0
primary,lagged_allowance_coverage,-2.364930843264316e-05,2.2038182540463378e-05,-6.684414621195139e-05,1.954552934666506e-05,1682,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,2.364930843264316e-05,2025-03-31,0
primary,lagged_loan_growth,-0.007822552580472998,0.005814772616626859,-0.019219506909061643,0.0035744017481156454,1682,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,0.007822552580472998,2025-03-31,0
primary,lagged_exposure,0.00035486902133626143,0.00034689327478626045,-0.00032504179724480905,0.0010347798399173319,1682,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,-0.00035486902133626143,2025-03-31,0
primary,exposure_x_cre_price_shock,-5.98632985048821e-06,1.3113601260922e-05,-3.168898832189533e-05,1.9716328620918908e-05,1682,33,6,6,cre_to_tier1,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,5.98632985048821e-06,2025-03-31,0
cre_share_alternative,lagged_nco_rate,0.17215780842947775,0.09452651800917285,-0.013114166868501032,0.35742978372745654,1682,33,6,6,cre_share,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,-0.17215780842947775,2025-03-31,0
cre_share_alternative,lagged_noncurrent_ratio,0.07064915033860984,0.07223692007915165,-0.0709352130165274,0.2122335136937471,1682,33,6,6,cre_share,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,-0.07064915033860984,2025-03-31,0
cre_share_alternative,lagged_allowance_coverage,-2.233263881631677e-05,2.236129300667721e-05,-6.616077310940411e-05,2.1495495476770564e-05,1682,33,6,6,cre_share,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,2.233263881631677e-05,2025-03-31,0
cre_share_alternative,lagged_loan_growth,-0.006045548682806543,0.006222935104252338,-0.018242501487141124,0.0061514041215280394,1682,33,6,6,cre_share,report_period_at_or_before_forecast_origin,contemporaneous target-quarter CRE year-over-year price growth,EX_POST_FINAL_VINTAGE_NOT_FORECAST_ORIGIN_INFORMATION,True,0.006045548682806543,2025-03-31,0
